date,HU204-CVPM07G,HU204-CVPM07S,HU207-CVPM08G,HU207-CVPM08S,HXI204-EXT_SAC,HXI207-EXT_CVPM08,U204-INT_SAC,U207-INT_CVPM08,LSVD_urban,LSVD_ag
1921-10-31,0.0,0.0,0.0,8910.5170793,0.0,0.0,464984.70491549995,51423.268844800004,516407.97376029997,8910.5170793
1921-11-30,0.0,0.0,0.0,593.534954,0.0,0.0,464984.7056041001,51423.2688467,516407.9744508001,593.534954
1921-12-31,0.0,0.0,0.0,125.669999,0.0,0.0,464984.7056041001,51423.2688467,516407.9744508001,125.669999
1922-01-31,0.0,0.0,0.0,14.1,0.0,0.0,464984.7056041001,51423.2688467,516407.9744508001,14.1
1922-02-28,0.0,0.0,0.0,21.54,0.0,0.0,464984.7056041001,51423.2688467,516407.9744508001,21.54
1922-03-31,0.0,0.0,0.0,1216.8959228,0.0,0.0,464984.7056041001,51423.2688467,516407.9744508001,1216.8959228
1922-04-30,3916.6999407,0.0,0.0,13802.2035294,0.0,0.0,464984.70491549995,51423.268844800004,516407.97376029997,17718.9034701
1922-05-31,11546.4639901,0.0,0.0,40427.55781059999,0.0,0.0,464984.70491549995,51423.268844800004,516407.97376029997,51974.021800699986
1922-06-30,15323.191948600002,0.0,0.0,49928.38869109999,0.0,0.0,464984.70491549995,51423.268844800004,516407.97376029997,65251.5806397
1922-07-31,16408.2122042,0.0,0.0,58094.46684329999,332653.0455072001,0.0,464984.70491549995,51423.268844800004,849061.0192675,74502.67904749999
1922-08-31,13198.072354799995,1859.002140471984,159472.1909472681,47235.89147999999,6107.144305999991,0.0,464984.70491549995,51423.268844800004,522515.11806629994,221765.15692254007
1922-09-30,5271.1680825,1885.5824076005827,80228.2553641,23543.290400400005,1364307.1116698,0.0,464984.70491549995,51423.268844800004,1880715.0854301,110928.29625460059
