date,GW_07,GW_08,SR_FOL,SR_ORO,SR_TAB
1921-10-31,56528.9542475152,190667.941301259,385.2695215845,2458.839157724755,11.8
1921-11-30,56530.201599697,190672.07126887,251.4615613130697,1611.97850069211,9.7
1921-12-31,56553.189889697,190692.358072745,335.960363348596,1545.56412146181,9.7
1922-01-31,56551.9990067879,190706.639082309,306.4795836457202,1503.390981421928,9.7
1922-02-28,56581.4884384849,190749.823694281,530.958508366272,1655.67334597569,9.7
1922-03-31,56584.6935755152,190763.724521407,348.347377142087,1782.152201819721,9.7
1922-04-30,56568.8535492727,190749.857456125,411.810408834247,2250.101391201699,11.8
1922-05-31,56558.3798245454,190694.097281705,821.014120434874,3247.2121647676104,11.8
1922-06-30,56499.7904393333,190611.940393677,703.241687197982,3538.0,11.8
1922-07-31,56424.8018560606,190496.302152071,392.03752754420304,3538.0,11.8
1922-08-31,56371.796,190476.06634,258.527855705781,3538.0,11.8
1922-09-30,56373.286,190462.123,186.642880225461,3538.0,11.8
