date,kaf
1970-10-31,7.7
1970-11-30,22.1
1970-12-31,41.0
1971-01-31,36.0
1971-02-28,25.1
1971-03-31,56.799999
1971-04-30,42.700001
1971-05-31,36.799999
1971-06-30,22.4
1971-07-31,13.6
1971-08-31,10.8
1971-09-30,8.8
1971-10-31,7.7
1971-11-30,8.7
1971-12-31,14.1
1972-01-31,16.799999
1972-02-29,24.299999
1972-03-31,33.900002
1972-04-30,32.099998
1972-05-31,20.4
1972-06-30,12.3
1972-07-31,8.6
1972-08-31,7.5
1972-09-30,7.1
1972-10-31,8.5
1972-11-30,16.1
1972-12-31,19.299999
1973-01-31,65.0
1973-02-28,64.0
1973-03-31,55.5
1973-04-30,37.099998
1973-05-31,35.200001
1973-06-30,18.0
1973-07-31,11.4
1973-08-31,8.5
1973-09-30,7.7
1973-10-31,8.7
1973-11-30,75.5
1973-12-31,65.400002
1974-01-31,112.800003
1974-02-28,38.099998
1974-03-31,117.599998
1974-04-30,69.599998
1974-05-31,34.799999
1974-06-30,21.9
1974-07-31,15.4
1974-08-31,11.5
1974-09-30,9.6
1974-10-31,8.9
1974-11-30,9.7
1974-12-31,13.7
1975-01-31,14.3
1975-02-28,46.299999
1975-03-31,74.0
1975-04-30,40.900002
1975-05-31,49.0
1975-06-30,27.9
1975-07-31,16.5
1975-08-31,13.7
1975-09-30,8.9
1975-10-31,10.3
1975-11-30,11.3
1975-12-31,11.7
1976-01-31,9.4
1976-02-29,12.2
1976-03-31,18.700001
1976-04-30,17.9
1976-05-31,13.3
1976-06-30,8.2
1976-07-31,6.3
1976-08-31,7.0
1976-09-30,6.1
1976-10-31,5.2
1976-11-30,5.6
1976-12-31,5.9
1977-01-31,7.1
1977-02-28,6.3
1977-03-31,7.6
1977-04-30,6.8
1977-05-31,8.2
1977-06-30,4.7
1977-07-31,3.3
1977-08-31,3.1
1977-09-30,4.0
1977-10-31,5.4
1977-11-30,8.0
1977-12-31,18.9
1978-01-31,82.5
1978-02-28,51.0
1978-03-31,83.599998
1978-04-30,57.700001
1978-05-31,39.799999
1978-06-30,23.5
1978-07-31,13.4
1978-08-31,9.9
1978-09-30,6.7
1978-10-31,7.1
1978-11-30,7.5
1978-12-31,7.3
1979-01-31,16.1
1979-02-28,30.5
1979-03-31,38.200001
1979-04-30,32.400002
1979-05-31,34.799999
1979-06-30,14.6
1979-07-31,9.3
1979-08-31,9.8
1979-09-30,6.5
1979-10-31,9.0
1979-11-30,12.1
1979-12-31,19.299999
1980-01-31,91.400002
1980-02-29,94.699997
1980-03-31,49.099998
1980-04-30,32.299999
1980-05-31,29.1
1980-06-30,17.700001
1980-07-31,11.6
1980-08-31,10.1
1980-09-30,6.7
1980-10-31,7.3
1980-11-30,8.1
1980-12-31,16.5
1981-01-31,20.5
1981-02-28,24.200001
1981-03-31,33.299999
1981-04-30,24.5
1981-05-31,18.299999
1981-06-30,10.9
1981-07-31,9.0
1981-08-31,6.6
1981-09-30,4.2
1981-10-31,8.6
1981-11-30,65.099998
1981-12-31,75.900002
1982-01-31,53.099998
1982-02-28,64.400002
1982-03-31,61.099998
1982-04-30,110.0
1982-05-31,44.799999
1982-06-30,21.1
1982-07-31,14.5
