date,kaf
1970-10-31,51281.62406193924
1970-11-30,51288.37567193924
1970-12-31,51293.78696193924
1971-01-31,51282.00482193923
1971-02-28,51251.14563193923
1971-03-31,51243.13974193923
1971-04-30,51241.22615193923
1971-05-31,51236.901031939226
1971-06-30,51236.56069072712
1971-07-31,51228.90165042409
1971-08-31,51231.76361042409
1971-09-30,51227.167170424094
1971-10-31,51204.51387042409
1971-11-30,51187.21648042409
1971-12-31,51177.94377042409
1972-01-31,51156.38363042409
1972-02-29,51138.67444042409
1972-03-31,51124.32855042409
1972-04-30,51112.499960424095
1972-05-31,51102.817840424104
1972-06-30,51102.018499211976
1972-07-31,51099.23645890895
1972-08-31,51098.34241890894
1972-09-30,51088.95097890894
1972-10-31,51075.65867890895
1972-11-30,51071.36528890894
1972-12-31,51055.39457890895
1973-01-31,51067.621438908944
1973-02-28,51071.598248908944
1973-03-31,51051.87935890896
1973-04-30,51031.619768908946
1973-05-31,51020.72164890896
1973-06-30,51016.80430769684
1973-07-31,51015.98826739381
1973-08-31,51020.11922739381
1973-09-30,51015.82078739381
1973-10-31,51004.05048739381
1973-11-30,51030.08309739381
1973-12-31,51031.080387393806
1974-01-31,51029.399247393805
1974-02-28,51004.642057393816
1974-03-31,51018.84416739381
1974-04-30,51002.71557739381
1974-05-31,50986.587457393805
1974-06-30,50979.17411618169
1974-07-31,50977.09307587865
1974-08-31,50980.894035878664
1974-09-30,50973.951595878665
1974-10-31,50960.473295878655
1974-11-30,50945.997905878656
1974-12-31,50937.21819587865
1975-01-31,50911.63305587865
1975-02-28,50914.504865878655
1975-03-31,50914.625975878655
1975-04-30,50901.99638587865
1975-05-31,50898.945265878654
1975-06-30,50897.583924666535
1975-07-31,50892.989884363495
1975-08-31,50896.2408443635
1975-09-30,50889.054404363495
1975-10-31,50877.600104363504
1975-11-30,50863.997714363504
1975-12-31,50848.983004363494
1976-01-31,50820.080864363495
1976-02-29,50798.49767436351
1976-03-31,50772.397784363515
1976-04-30,50769.392194363514
1976-05-31,50765.93007436352
1976-06-30,50770.019733151385
1976-07-31,50772.80869284836
1976-08-31,50761.90659837025
1976-09-30,50752.898158370255
1976-10-31,50736.102858370265
1976-11-30,50715.640468370264
1976-12-31,50694.531758370256
1977-01-31,50677.178618370264
1977-02-28,50654.581428370264
1977-03-31,50634.046538370254
1977-04-30,50633.247193469484
1977-05-31,50623.494533469486
1977-06-30,50603.69155225736
1977-07-31,50585.566511954334
1977-08-31,50573.69239938372
1977-09-30,50567.02595938372
1977-10-31,50550.75765938372
1977-11-30,50536.81726938371
1977-12-31,50527.96955938371
1978-01-31,50535.86041938371
1978-02-28,50522.22722938371
1978-03-31,50522.518339383714
1978-04-30,50523.7677493837
1978-05-31,50507.911629383714
1978-06-30,50498.28628817159
1978-07-31,50497.900247868565
1978-08-31,50501.84420786856
1978-09-30,50496.94876786856
1978-10-31,50480.72346786856
1978-11-30,50465.309077868566
1978-12-31,50446.395367868565
1979-01-31,50436.73022786857
1979-02-28,50431.801037868565
1979-03-31,50417.02914786856
1979-04-30,50403.83555786855
1979-05-31,50399.63043786855
1979-06-30,50402.059096656434
1979-07-31,50406.170056353396
1979-08-31,50409.712016353405
1979-09-30,50402.27157635341
1979-10-31,50390.47127635341
1979-11-30,50377.20688635341
1979-12-31,50374.200176353406
1980-01-31,50378.468036353406
1980-02-29,50380.733846353396
1980-03-31,50364.646956353405
1980-04-30,50344.724366353395
1980-05-31,50333.814246353395
1980-06-30,50337.12490514128
1980-07-31,50337.56986483825
1980-08-31,50339.70382483825
1980-09-30,50333.59238483825
1980-10-31,50318.60908483825
1980-11-30,50302.72469483825
1980-12-31,50295.24798483825
1981-01-31,50284.37084483825
1981-02-28,50261.25565483825
1981-03-31,50252.512764838255
1981-04-30,50242.76517483825
1981-05-31,50239.781054838255
1981-06-30,50243.11771362613
1981-07-31,50252.872673323094
1981-08-31,50255.978121864006
1981-09-30,50249.57568186401
1981-10-31,50238.318381864
1981-11-30,50254.537991864
1981-12-31,50263.560281864
1982-01-31,50246.847141864004
1982-02-28,50238.459951864
1982-03-31,50238.649061864
1982-04-30,50252.424471864004
1982-05-31,50240.997351864
1982-06-30,50228.46501065188
1982-07-31,50223.23197034885
1982-08-31,50230.608930348855
1982-09-30,50228.804490348855
1982-10-31,50216.151190348864
1982-11-30,50219.25780034887
1982-12-31,50215.89809034887
1983-01-31,50207.32895034887
1983-02-28,50214.52076034887
1983-03-31,50219.91287034887
1983-04-30,50222.971280348866
1983-05-31,50228.68116034887
1983-06-30,50227.10481913674
1983-07-31,50215.7477788337
1983-08-31,50213.0497388337
1983-09-30,50204.5062988337
1983-10-31,50191.9019988337
1983-11-30,50207.0386088337
1983-12-31,50217.3988988337
1984-01-31,50188.5607588337
1984-02-29,50161.6525688337
1984-03-31,50146.1426788337
1984-04-30,50134.4990888337
1984-05-31,50130.427968833705
1984-06-30,50135.50262762158
1984-07-31,50144.86058731855
1984-08-31,50151.58454731856
1984-09-30,50147.582107318565
1984-10-31,50134.066807318566
1984-11-30,50141.471417318564
1984-12-31,50124.965707318566
1985-01-31,50096.721567318564
1985-02-28,50078.03437731857
1985-03-31,50062.37948731856
1985-04-30,50059.62989731856
1985-05-31,50061.193777318564
1985-06-30,50068.427436106445
1985-07-31,50074.920395803405
1985-08-31,50079.65735580341
1985-09-30,50072.20691580341
1985-10-31,50057.28161580341
1985-11-30,50048.27322580341
1985-12-31,50029.686515803405
1986-01-31,50017.778375803406
1986-02-28,50038.645185803405
1986-03-31,50035.775295803396
1986-04-30,50016.02570580341
1986-05-31,50003.437585803396
1986-06-30,50003.37624459128
1986-07-31,50008.65320428825
1986-08-31,50013.29216428824
1986-09-30,50012.296724288244
1986-10-31,49999.65442428825
1986-11-30,49983.569034288244
1986-12-31,49968.34332428825
1987-01-31,49953.098184288254
1987-02-28,49934.561994288255
1987-03-31,49924.84810428825
1987-04-30,49916.611514288255
1987-05-31,49913.945394288254
1987-06-30,49919.817053076134
1987-07-31,49926.20401277309
1987-08-31,49928.35817891156
1987-09-30,49919.92073891156
1987-10-31,49905.832438911566
1987-11-30,49891.673048911565
1987-12-31,49889.331338911565
1988-01-31,49874.24019891156
1988-02-29,49848.99700891156
1988-03-31,49832.99711891156
1988-04-30,49837.32852891156
1988-05-31,49836.65240891156
1988-06-30,49843.619067699445
1988-07-31,49827.95209672547
1988-08-31,49815.729129341555
1988-09-30,49810.96868934155
1988-10-31,49799.411389341556
1988-11-30,49792.44799934155
1988-12-31,49772.91928934155
1989-01-31,49749.693149341554
1989-02-28,49735.07095934155
1989-03-31,49752.08006934155
1989-04-30,49737.68647934155
1989-05-31,49731.83835934155
1989-06-30,49735.355018129434
1989-07-31,49744.1919778264
1989-08-31,49751.237937826394
1989-09-30,49744.9554978264
1989-10-31,49734.541197826395
1989-11-30,49719.3868078264
1989-12-31,49704.510097826394
1990-01-31,49695.902957826394
1990-02-28,49672.5947678264
1990-03-31,49657.212877826394
1990-04-30,49660.166287826396
1990-05-31,49664.450167826406
1990-06-30,49665.511826614274
1990-07-31,49669.24378631125
1990-08-31,49677.52974631125
