date,kaf
1970-10-31,7.83
1970-11-30,6.66
1970-12-31,4.94
1971-01-31,6.48
1971-02-28,6.73
1971-03-31,8.290000000000001
1971-04-30,10.79
1971-05-31,13.420000000000002
1971-06-30,14.72
1971-07-31,14.56
1971-08-31,12.6
1971-09-30,10.19
1971-10-31,7.83
1971-11-30,6.66
1971-12-31,4.94
1972-01-31,6.48
1972-02-29,6.73
1972-03-31,8.290000000000001
1972-04-30,10.79
1972-05-31,13.420000000000002
1972-06-30,14.72
1972-07-31,14.56
1972-08-31,12.6
1972-09-30,10.19
1972-10-31,7.83
1972-11-30,6.66
1972-12-31,4.94
1973-01-31,6.48
1973-02-28,6.73
1973-03-31,8.290000000000001
1973-04-30,10.79
1973-05-31,13.420000000000002
1973-06-30,14.72
1973-07-31,14.56
1973-08-31,12.6
1973-09-30,10.19
1973-10-31,7.83
1973-11-30,6.66
1973-12-31,4.94
1974-01-31,6.48
1974-02-28,6.73
1974-03-31,8.290000000000001
1974-04-30,10.79
1974-05-31,13.420000000000002
1974-06-30,14.72
1974-07-31,14.56
1974-08-31,12.6
1974-09-30,10.19
1974-10-31,7.83
1974-11-30,6.66
1974-12-31,4.94
1975-01-31,6.48
1975-02-28,6.73
1975-03-31,8.290000000000001
1975-04-30,10.79
1975-05-31,13.420000000000002
1975-06-30,14.72
1975-07-31,14.56
1975-08-31,12.6
1975-09-30,10.19
1975-10-31,7.83
1975-11-30,6.66
1975-12-31,4.94
1976-01-31,6.48
1976-02-29,6.73
1976-03-31,8.290000000000001
1976-04-30,10.79
1976-05-31,13.420000000000002
1976-06-30,14.72
1976-07-31,14.56
1976-08-31,12.6
1976-09-30,10.19
1976-10-31,7.83
1976-11-30,6.66
1976-12-31,4.94
1977-01-31,6.48
1977-02-28,6.73
1977-03-31,8.290000000000001
1977-04-30,10.79
1977-05-31,13.420000000000002
1977-06-30,14.72
1977-07-31,14.56
1977-08-31,12.6
1977-09-30,10.19
1977-10-31,7.83
1977-11-30,6.66
1977-12-31,4.94
1978-01-31,6.48
1978-02-28,6.73
1978-03-31,8.290000000000001
1978-04-30,10.79
1978-05-31,13.420000000000002
1978-06-30,14.72
1978-07-31,14.56
1978-08-31,12.6
1978-09-30,10.19
1978-10-31,7.83
1978-11-30,6.66
1978-12-31,4.94
1979-01-31,6.48
1979-02-28,6.73
1979-03-31,8.290000000000001
1979-04-30,10.79
1979-05-31,13.420000000000002
1979-06-30,14.72
1979-07-31,14.56
1979-08-31,12.6
1979-09-30,10.19
1979-10-31,7.83
1979-11-30,6.66
1979-12-31,4.94
1980-01-31,6.48
1980-02-29,6.73
1980-03-31,8.290000000000001
1980-04-30,10.79
1980-05-31,13.420000000000002
1980-06-30,14.72
1980-07-31,14.56
1980-08-31,12.6
1980-09-30,10.19
1980-10-31,7.83
1980-11-30,6.66
1980-12-31,4.94
1981-01-31,6.48
1981-02-28,6.73
1981-03-31,8.290000000000001
1981-04-30,10.79
1981-05-31,13.420000000000002
1981-06-30,14.72
1981-07-31,14.56
1981-08-31,12.6
1981-09-30,10.19
1981-10-31,7.83
1981-11-30,6.66
1981-12-31,4.94
1982-01-31,6.48
1982-02-28,6.73
1982-03-31,8.290000000000001
1982-04-30,10.79
1982-05-31,13.420000000000002
1982-06-30,14.72
1982-07-31,14.56
1982-08-31,12.6
1982-09-30,10.19
1982-10-31,7.83
1982-11-30,6.66
1982-12-31,4.94
1983-01-31,6.48
1983-02-28,6.73
1983-03-31,8.290000000000001
1983-04-30,10.79
1983-05-31,13.420000000000002
1983-06-30,14.72
1983-07-31,14.56
1983-08-31,12.6
1983-09-30,10.19
1983-10-31,7.83
1983-11-30,6.66
1983-12-31,4.94
1984-01-31,6.48
1984-02-29,6.73
1984-03-31,8.290000000000001
1984-04-30,10.79
1984-05-31,13.420000000000002
