date,kaf
1970-10-31,49.92326646544734
1970-11-30,38.376
1970-12-31,108.67200000000001
1971-01-31,99.47200000000001
1971-02-28,45.983999999999995
1971-03-31,86.572
1971-04-30,75.27600000000001
1971-05-31,60.172
1971-06-30,51.35975
1971-07-31,43.2852
1971-08-31,47.1175
1971-09-30,45.09945
1971-10-31,54.61526646544735
1971-11-30,18.791
1971-12-31,45.727
1972-01-31,31.427
1972-02-29,49.07159041355078
1972-03-31,62.626999999999995
1972-04-30,368.6502326543887
1972-05-31,83.3589876339762
1972-06-30,164.42917577231208
1972-07-31,45.5792
1972-08-31,45.6435
1972-09-30,37.33845
1972-10-31,26.183266465447346
1972-11-30,30.239
1972-12-31,39.983
1973-01-31,181.183
1973-02-28,170.648
1973-03-31,146.18200000000004
1973-04-30,89.039
1973-05-31,67.983
1973-06-30,289.63873089727883
1973-07-31,43.4402
1973-08-31,47.0915
1973-09-30,40.96145
1973-10-31,29.778266465447345
1973-11-30,56.538999999999994
1973-12-31,118.383
1974-01-31,165.183
1974-02-28,58.549
1974-03-31,179.482
1974-04-30,146.53799999999998
1974-05-31,73.183
1974-06-30,94.30251997726559
1974-07-31,175.8857095759999
1974-08-31,129.2364939907375
1974-09-30,52.82545
1974-10-31,45.71826646544734
1974-11-30,24.139
1974-12-31,28.683000000000003
1975-01-31,34.783
1975-02-28,100.749
1975-03-31,160.982
1975-04-30,106.639
1975-05-31,110.083
1975-06-30,59.16175
1975-07-31,40.9512
1975-08-31,39.4995
1975-09-30,53.99045
1975-10-31,31.112563135228594
1975-11-30,14.535
1975-12-31,13.693
1976-01-31,12.793
1976-02-29,15.47359041355077
1976-03-31,21.093000000000004
1976-04-30,40.7018
1976-05-31,50.7337
1976-06-30,41.82975
1976-07-31,41.2702
1976-08-31,35.9775
1976-09-30,37.95145
1976-10-31,23.96926646544734
1976-11-30,13.73995
1976-12-31,13.12235
1977-01-31,9.993
1977-02-28,11.02
1977-03-31,10.92335
1977-04-30,54.8348
1977-05-31,36.26470000000001
1977-06-30,44.41575
1977-07-31,42.7532
1977-08-31,42.4165
1977-09-30,35.99745
1977-10-31,19.983
1977-11-30,21.039
1977-12-31,37.883
1978-01-31,152.18200000000002
1978-02-28,91.449
1978-03-31,145.582
1978-04-30,151.03799999999998
1978-05-31,80.883
1978-06-30,45.85775
1978-07-31,193.512709576
1978-08-31,168.73212743848003
1978-09-30,65.10007287853435
1978-10-31,45.2645
1978-11-30,22.039
1978-12-31,24.783
1979-01-31,61.883
1979-02-28,104.849
1979-03-31,144.282
1979-04-30,99.639
1979-05-31,93.28299999999999
1979-06-30,319.03503788228767
1979-07-31,44.0142
1979-08-31,47.3475
1979-09-30,39.89745
1979-10-31,51.60126646544734
1979-11-30,25.039
1979-12-31,34.783
1980-01-31,272.482
1980-02-29,175.1025904135508
1980-03-31,136.18200000000002
1980-04-30,79.639
1980-05-31,137.29649963932926
1980-06-30,110.28950349801642
1980-07-31,217.6936179779217
1980-08-31,42.2675
1980-09-30,46.57445
1980-10-31,56.41326646544734
1980-11-30,14.791
1980-12-31,18.327
1981-01-31,36.427
1981-02-28,26.318
1981-03-31,79.62700000000002
1981-04-30,81.51440472529967
1981-05-31,43.5757
1981-06-30,186.84117577231243
1981-07-31,48.5942
1981-08-31,48.0675
1981-09-30,42.35245
1981-10-31,24.507766465447343
1981-11-30,66.039
1981-12-31,124.682
1982-01-31,219.282
1982-02-28,236.94799999999998
1982-03-31,272.882
1982-04-30,580.1542070897202
1982-05-31,320.21580743915786
1982-06-30,137.36250349801642
1982-07-31,276.05486923362616
1982-08-31,106.69833819488748
1982-09-30,178.96826815874917
1982-10-31,33.083
1982-11-30,95.639
1982-12-31,233.282
1983-01-31,239.982
1983-02-28,284.64799999999997
1983-03-31,548.819945113819
1983-04-30,298.36296748671236
1983-05-31,550.2703571368427
1983-06-30,328.6467830808483
1983-07-31,160.86081754394039
1983-08-31,26.5075
1983-09-30,66.80879644540471
1983-10-31,108.71783534231778
1983-11-30,317.36234479451235
1983-12-31,434.0004349428229
1984-01-31,160.41942721275655
1984-02-29,117.96288133192827
1984-03-31,107.33661100400944
1984-04-30,128.7808195376632
