date,kaf
1970-10-31,1.382842
1970-11-30,6.9693119999999995
1970-12-31,14.0264
1971-01-31,10.7248
1971-02-28,6.8224
1971-03-31,6.501036
1971-04-30,6.979951
1971-05-31,6.764067999999999
1971-06-30,4.288727
1971-07-31,2.330677
1971-08-31,1.7565009999999999
1971-09-30,0.000103
1971-10-31,0.034395
1971-11-30,-0.7666
1971-12-31,0.39198
1972-01-31,-1.2519
1972-02-29,0.4219
1972-03-31,4.640115
1972-04-30,-0.006973
1972-05-31,-0.751881
1972-06-30,-0.9661860000000001
1972-07-31,-1.5696
1972-08-31,-3.164831
1972-09-30,-4.700608
1972-10-31,-3.3591580000000003
1972-11-30,1.047176
1972-12-31,1.0062
1973-01-31,6.6849
1973-02-28,8.6895
1973-03-31,8.28919
1973-04-30,0.6225189999999999
1973-05-31,3.270712
1973-06-30,2.589204
1973-07-31,2.591122
1973-08-31,1.36206
1973-09-30,-0.105682
1973-10-31,0.7568819999999999
1973-11-30,12.514248
1973-12-31,14.0051
1974-01-31,19.457399
1974-02-28,9.3555
1974-03-31,16.726204
1974-04-30,17.582813
1974-05-31,5.1453169999999995
1974-06-30,4.145398
1974-07-31,3.9594699999999996
1974-08-31,2.24954
1974-09-30,0.5309
1974-10-31,0.730062
1974-11-30,2.427193
1974-12-31,2.303634
1975-01-31,-1.6524
1975-02-28,5.1381
1975-03-31,14.287173000000001
1975-04-30,6.486122
1975-05-31,6.260236
1975-06-30,4.055471
1975-07-31,2.39635
1975-08-31,1.603386
1975-09-30,-1.474701
1975-10-31,1.697445
1975-11-30,2.334
1975-12-31,2.173124
1976-01-31,-1.811709
1976-02-29,-0.722535
1976-03-31,-1.032037
1976-04-30,-0.433526
1976-05-31,-2.2311330000000003
1976-06-30,-2.678408
1976-07-31,-3.006326
1976-08-31,-2.95312
1976-09-30,-7.132942999999999
1976-10-31,-8.993011
1976-11-30,-6.68403
1976-12-31,-5.843874
1977-01-31,-3.6598
1977-02-28,-4.730133
1977-03-31,-3.861068
1977-04-30,-4.5534099999999995
1977-05-31,-2.78567
1977-06-30,-5.3159410000000005
1977-07-31,-5.050076
1977-08-31,-6.887961
1977-09-30,-7.6060039999999995
1977-10-31,-8.186308
1977-11-30,-5.994190000000001
1977-12-31,-4.2669999999999995
1978-01-31,-0.3849
1978-02-28,3.9560000000000004
1978-03-31,12.491522
1978-04-30,8.336518
1978-05-31,3.97822
1978-06-30,1.4662959999999998
1978-07-31,2.0799630000000002
1978-08-31,0.832274
1978-09-30,-1.288129
1978-10-31,-2.6084
1978-11-30,-0.1546
1978-12-31,-0.46799999999999997
1979-01-31,-0.7303
1979-02-28,0.4237
1979-03-31,2.528718
1979-04-30,2.520075
1979-05-31,2.349518
1979-06-30,1.2614
1979-07-31,1.5624
1979-08-31,-1.045843
1979-09-30,-4.542418
1979-10-31,-2.60993
1979-11-30,-1.2522739999999999
1979-12-31,1.2684
1980-01-31,8.2522
1980-02-29,13.200664000000002
1980-03-31,11.275868
1980-04-30,1.712948
1980-05-31,1.327145
1980-06-30,3.263773
1980-07-31,2.061289
1980-08-31,0.2247
1980-09-30,-2.024248
1980-10-31,-2.725209
1980-11-30,-0.5631
1980-12-31,1.590878
1981-01-31,-1.6758
1981-02-28,1.610638
1981-03-31,7.2180919999999995
1981-04-30,4.731912
1981-05-31,4.5132010000000005
1981-06-30,2.642043
1981-07-31,2.7165939999999997
1981-08-31,1.27
1981-09-30,-2.783731
1981-10-31,-2.603421
1981-11-30,3.4254239999999996
1981-12-31,12.9468
1982-01-31,6.3375
1982-02-28,13.6474
1982-03-31,12.871106
1982-04-30,16.003957999999997
1982-05-31,5.816619
1982-06-30,3.9900919999999998
1982-07-31,2.799986
1982-08-31,1.86693
1982-09-30,0.822931
1982-10-31,1.414305
1982-11-30,4.200868
1982-12-31,8.807654
1983-01-31,5.7111
1983-02-28,23.9627
1983-03-31,40.015778000000005
1983-04-30,18.755596
1983-05-31,17.650333
1983-06-30,11.505889999999999
1983-07-31,8.532325
1983-08-31,7.216467
1983-09-30,5.326454
1983-10-31,4.111814
1983-11-30,9.216341
1983-12-31,19.486601
1984-01-31,9.9327
1984-02-29,3.6231
1984-03-31,6.9063490000000005
1984-04-30,2.703535
1984-05-31,2.645252
1984-06-30,2.571992
1984-07-31,2.7006349999999997
1984-08-31,0.671142
1984-09-30,-2.482556
1984-10-31,-0.597119
1984-11-30,4.6879290000000005
1984-12-31,2.7113
1985-01-31,-2.347778
1985-02-28,-2.4097630000000003
1985-03-31,-2.2519270000000002
1985-04-30,-3.453499
