date,kaf
1970-10-31,39051.25124999956
1970-11-30,39057.381899999564
1970-12-31,39070.83734999956
1971-01-31,39081.07619999956
1971-02-28,39087.403199999564
1971-03-31,39093.23154999955
1971-04-30,39105.43194999955
1971-05-31,39118.02804999956
1971-06-30,39118.282949999564
1971-07-31,39115.25784999956
1971-08-31,39111.94484999956
1971-09-30,39108.70734999955
1971-10-31,39107.136799999564
1971-11-30,39105.53144999956
1971-12-31,39105.35289999956
1972-01-31,39103.61474999957
1972-02-29,39103.54174999956
1972-03-31,39107.50909999956
1972-04-30,39106.37249999956
1972-05-31,39103.29259999957
1972-06-30,39098.292499999574
1972-07-31,39091.36639999957
1972-08-31,39083.13139999957
1972-09-30,39075.19289999957
1972-10-31,39070.22934999957
1972-11-30,39070.43799999957
1972-12-31,39070.87344999958
1973-01-31,39077.07229999958
1973-02-28,39085.26729999958
1973-03-31,39092.88364999957
1973-04-30,39098.72704999957
1973-05-31,39099.670149999576
1973-06-30,39098.22504999958
1973-07-31,39095.45994999958
1973-08-31,39091.75194999958
1973-09-30,39088.40844999958
1973-10-31,39087.56089999958
1973-11-30,39104.65654999959
1973-12-31,39123.16099999959
1974-01-31,39147.08184999959
1974-02-28,39160.89184999959
1974-03-31,39182.1351999996
1974-04-30,39204.9385999996
1974-05-31,39215.91569999959
1974-06-30,39216.02659999959
1974-07-31,39214.6294999996
1974-08-31,39211.8094999996
1974-09-30,39209.1029999996
1974-10-31,39208.2284499996
1974-11-30,39209.817099999615
1974-12-31,39211.550549999614
1975-01-31,39209.412399999615
1975-02-28,39214.05539999961
1975-03-31,39227.6697499996
1975-04-30,39239.376149999596
1975-05-31,39251.4682499996
1975-06-30,39251.4891499996
1975-07-31,39248.5290499996
1975-08-31,39245.062049999615
1975-09-30,39240.349549999606
1975-10-31,39240.44199999962
1975-11-30,39241.937649999614
1975-12-31,39243.54009999962
1976-01-31,39241.241949999625
1976-02-29,39240.02394999962
1976-03-31,39238.31929999962
1976-04-30,39236.755699999616
