date,kaf
1970-10-31,139.4
1970-11-30,358.6
1970-12-31,506.6
1971-01-31,461.4
1971-02-28,377.0
1971-03-31,834.5
1971-04-30,651.3
1971-05-31,764.5
1971-06-30,499.9
1971-07-31,240.1
1971-08-31,203.3
1971-09-30,155.9
1971-10-31,212.2
1971-11-30,182.7
1971-12-31,211.5
1972-01-31,284.5
1972-02-29,332.8
1972-03-31,524.7
1972-04-30,373.1
1972-05-31,295.1
1972-06-30,109.4
1972-07-31,92.7
1972-08-31,114.1
1972-09-30,97.4
1972-10-31,62.5
1972-11-30,252.2
1972-12-31,366.6
1973-01-31,694.4
1973-02-28,549.2
1973-03-31,527.4
1973-04-30,520.4
1973-05-31,567.1
1973-06-30,169.7
1973-07-31,90.6
1973-08-31,109.9
1973-09-30,91.9
1973-10-31,131.9
1973-11-30,872.0
1973-12-31,625.0
1974-01-31,1316.6
1974-02-28,446.8
1974-03-31,1386.6
1974-04-30,1100.6
1974-05-31,777.7
1974-06-30,445.9
1974-07-31,270.0
1974-08-31,219.8
1974-09-30,158.6
1974-10-31,134.7
1974-11-30,200.4
1974-12-31,163.1
1975-01-31,170.9
1975-02-28,442.6
1975-03-31,730.4
1975-04-30,602.5
1975-05-31,945.4
1975-06-30,548.0
1975-07-31,205.8
1975-08-31,197.4
1975-09-30,156.8
1975-10-31,148.7
1975-11-30,248.2
1975-12-31,229.9
1976-01-31,203.6
1976-02-29,220.1
1976-03-31,258.3
1976-04-30,146.2
1976-05-31,124.5
1976-06-30,63.4
1976-07-31,37.4
1976-08-31,48.8
1976-09-30,92.0
1976-10-31,51.8
1976-11-30,62.3
1976-12-31,40.5
1977-01-31,51.4
1977-02-28,49.7
1977-03-31,74.3
1977-04-30,60.6
1977-05-31,72.2
1977-06-30,46.7
1977-07-31,42.8
1977-08-31,98.4
1977-09-30,100.4
1977-10-31,61.2
1977-11-30,78.2
1977-12-31,253.7
1978-01-31,946.0
1978-02-28,550.8
1978-03-31,927.7
1978-04-30,644.7
1978-05-31,550.6
1978-06-30,294.1
1978-07-31,121.8
1978-08-31,177.3
1978-09-30,172.3
1978-10-31,153.8
1978-11-30,123.2
1978-12-31,126.7
1979-01-31,270.9
1979-02-28,371.5
1979-03-31,421.6
1979-04-30,377.0
1979-05-31,519.3
1979-06-30,178.2
1979-07-31,150.4
1979-08-31,137.6
1979-09-30,98.8
1979-10-31,159.7
1979-11-30,160.5
1979-12-31,222.3
1980-01-31,1257.2
1980-02-29,1004.4
1980-03-31,554.6
1980-04-30,443.4
1980-05-31,412.1
1980-06-30,198.7
1980-07-31,159.3
1980-08-31,113.9
1980-09-30,115.0
1980-10-31,128.4
1980-11-30,126.6
1980-12-31,219.1
1981-01-31,239.4
1981-02-28,319.9
1981-03-31,363.5
1981-04-30,324.4
1981-05-31,208.9
1981-06-30,139.8
1981-07-31,83.4
1981-08-31,84.8
1981-09-30,117.5
1981-10-31,143.4
1981-11-30,992.9
1981-12-31,1157.8
1982-01-31,648.3
1982-02-28,1027.9
1982-03-31,760.2
1982-04-30,1567.3
1982-05-31,904.4
1982-06-30,407.1
1982-07-31,246.7
1982-08-31,196.7
1982-09-30,186.6
1982-10-31,222.3
1982-11-30,339.8
1982-12-31,607.5
1983-01-31,684.8
1983-02-28,1125.5
1983-03-31,1954.4
1983-04-30,994.4
1983-05-31,1226.1
1983-06-30,880.8
1983-07-31,370.9
1983-08-31,245.0
1983-09-30,209.0
1983-10-31,157.2
1983-11-30,646.9
1983-12-31,1317.2
1984-01-31,628.0
1984-02-29,466.3
1984-03-31,585.1
1984-04-30,428.0
1984-05-31,377.5
1984-06-30,248.3
1984-07-31,187.8
1984-08-31,139.9
1984-09-30,148.2
1984-10-31,154.1
1984-11-30,297.0
1984-12-31,249.1
1985-01-31,187.7
1985-02-28,272.9
1985-03-31,325.6
1985-04-30,437.1
1985-05-31,240.9
1985-06-30,108.3
1985-07-31,134.6
1985-08-31,79.6
1985-09-30,89.6
1985-10-31,120.1
1985-11-30,76.5
1985-12-31,157.7
1986-01-31,411.3
1986-02-28,2361.1
1986-03-31,1331.7
1986-04-30,514.7
1986-05-31,316.8
1986-06-30,226.7
1986-07-31,157.7
1986-08-31,146.4
1986-09-30,216.5
1986-10-31,183.7
1986-11-30,173.0
1986-12-31,98.7
1987-01-31,112.9
1987-02-28,245.1
1987-03-31,414.1
1987-04-30,192.9
1987-05-31,105.2
1987-06-30,44.6
1987-07-31,28.9
1987-08-31,31.2
1987-09-30,95.4
1987-10-31,130.8
1987-11-30,168.0
1987-12-31,393.2
1988-01-31,304.5
1988-02-29,126.5
1988-03-31,176.5
1988-04-30,161.1
1988-05-31,145.4
1988-06-30,75.0
1988-07-31,59.2
1988-08-31,63.2
1988-09-30,89.9
1988-10-31,120.6
1988-11-30,209.4
1988-12-31,134.9
1989-01-31,102.8
1989-02-28,175.0
1989-03-31,1225.3
1989-04-30,546.5
1989-05-31,221.6
1989-06-30,134.6
1989-07-31,104.0
1989-08-31,114.2
1989-09-30,87.5
1989-10-31,155.4
1989-11-30,162.7
1989-12-31,142.4
1990-01-31,178.4
1990-02-28,118.4
1990-03-31,298.3
1990-04-30,204.3
1990-05-31,164.6
1990-06-30,146.0
1990-07-31,78.1
1990-08-31,93.6
1990-09-30,94.5
1990-10-31,113.0
1990-11-30,77.2
1990-12-31,90.0
1991-01-31,48.1
1991-02-28,62.7
1991-03-31,420.9
1991-04-30,303.1
1991-05-31,265.6
1991-06-30,113.6
1991-07-31,105.3
1991-08-31,91.3
1991-09-30,129.6
1991-10-31,76.0
1991-11-30,61.8
1991-12-31,74.5
1992-01-31,82.3
1992-02-29,299.0
1992-03-31,273.7
1992-04-30,270.5
1992-05-31,113.6
1992-06-30,54.9
1992-07-31,68.8
1992-08-31,78.2
1992-09-30,107.2
1992-10-31,115.8
1992-11-30,78.9
1992-12-31,206.8
1993-01-31,617.0
1993-02-28,544.9
1993-03-31,1214.3
1993-04-30,791.1
1993-05-31,683.4
1993-06-30,428.4
1993-07-31,223.7
1993-08-31,179.8
1993-09-30,143.0
1993-10-31,168.2
1993-11-30,154.1
1993-12-31,207.1
1994-01-31,100.2
1994-02-28,161.4
1994-03-31,240.1
1994-04-30,185.4
1994-05-31,163.4
1994-06-30,62.9
1994-07-31,75.9
1994-08-31,72.8
1994-09-30,101.8
1994-10-31,103.7
1994-11-30,99.6
1994-12-31,201.4
1995-01-31,1322.3
1995-02-28,576.7
1995-03-31,2079.5
1995-04-30,1274.2
1995-05-31,1567.3000000000004
1995-06-30,807.4
1995-07-31,335.7
1995-08-31,225.7
1995-09-30,181.5
1995-10-31,158.3
1995-11-30,158.6
1995-12-31,303.5
1996-01-31,381.0
1996-02-29,1202.9
1996-03-31,817.0
1996-04-30,833.4
1996-05-31,927.9
1996-06-30,338.7
1996-07-31,212.7
1996-08-31,176.9
1996-09-30,150.4
1996-10-31,161.0
1996-11-30,250.1
1996-12-31,1379.0
1997-01-31,2498.7
1997-02-28,719.8
1997-03-31,492.2
1997-04-30,397.2
1997-05-31,258.1
1997-06-30,159.3
1997-07-31,125.5
1997-08-31,145.6
1997-09-30,112.4
1997-10-31,158.5
1997-11-30,221.8
1997-12-31,320.7
1998-01-31,822.5
1998-02-28,1020.1
1998-03-31,893.4
1998-04-30,729.8
1998-05-31,868.2
1998-06-30,862.5
1998-07-31,357.1
1998-08-31,234.8
1998-09-30,200.4
1998-10-31,154.3
1998-11-30,336.3
1998-12-31,451.8
1999-01-31,514.9
1999-02-28,905.3
1999-03-31,713.2
1999-04-30,563.9
1999-05-31,545.4
1999-06-30,271.6
1999-07-31,175.6
1999-08-31,179.3
1999-09-30,103.3
1999-10-31,137.3
1999-11-30,205.2
1999-12-31,172.8
2000-01-31,346.4
2000-02-29,827.2
2000-03-31,671.6
2000-04-30,543.2
2000-05-31,412.7
2000-06-30,203.6
2000-07-31,177.8
2000-08-31,155.1
2000-09-30,142.0
2000-10-31,151.5
2000-11-30,141.0
2000-12-31,168.4
2001-01-31,159.4
2001-02-28,182.9
2001-03-31,299.7
2001-04-30,235.9
2001-05-31,221.3
2001-06-30,92.3
2001-07-31,93.5
2001-08-31,81.4
2001-09-30,67.2
2001-10-31,138.2
2001-11-30,150.1
2001-12-31,308.8
2002-01-31,406.3
2002-02-28,245.1
2002-03-31,356.2
2002-04-30,363.2
2002-05-31,239.0
2002-06-30,95.3
2002-07-31,83.7
2002-08-31,98.0
2002-09-30,126.6
2002-10-31,115.9
2002-11-30,145.8
2002-12-31,568.8
2003-01-31,646.3
2003-02-28,377.4
2003-03-31,449.3
2003-04-30,497.5
2003-05-31,682.1
2003-06-30,310.7
2003-07-31,156.0
2003-08-31,143.3
2003-09-30,138.5
