date,kaf
1970-10-31,3.162
1970-11-30,0.899
1970-12-31,0.0
1971-01-31,1.5090000000000001
1971-02-28,0.125
1971-03-31,0.0
1971-04-30,0.0
1971-05-31,5.247000000000001
1971-06-30,6.867000000000001
1971-07-31,4.824
1971-08-31,6.318
1971-09-30,1.162
1971-10-31,3.6010000000000004
1971-11-30,0.0
1971-12-31,1.35
1972-01-31,6.0489999999999995
1972-02-29,6.017
1972-03-31,0.929
1972-04-30,4.277
1972-05-31,1.849
1972-06-30,0.0
1972-07-31,0.0
1972-08-31,0.0
1972-09-30,12.380999999999998
1972-10-31,8.45
1972-11-30,0.0
1972-12-31,3.7689999999999997
1973-01-31,4.216
1973-02-28,5.561
1973-03-31,3.782
1973-04-30,0.256
1973-05-31,0.0
1973-06-30,0.0
1973-07-31,0.0
1973-08-31,0.0
1973-09-30,0.139
1973-10-31,0.0
1973-11-30,5.167999999999999
1973-12-31,6.562
1974-01-31,13.894
1974-02-28,0.0
1974-03-31,0.0
1974-04-30,0.0
1974-05-31,0.0
1974-06-30,0.0
1974-07-31,0.0
1974-08-31,0.0
1974-09-30,0.0
1974-10-31,0.0
1974-11-30,0.8809999999999999
1974-12-31,0.728
1975-01-31,3.8360000000000003
1975-02-28,11.960999999999999
1975-03-31,6.817
1975-04-30,4.406000000000001
1975-05-31,4.849
1975-06-30,0.0
1975-07-31,0.0
1975-08-31,0.0
1975-09-30,0.0
1975-10-31,5.443
1975-11-30,2.54
1975-12-31,1.7919999999999998
1976-01-31,0.0
1976-02-29,0.0
1976-03-31,0.0
1976-04-30,0.337
1976-05-31,0.0
1976-06-30,0.0
1976-07-31,0.0
1976-08-31,1.3730000000000002
1976-09-30,2.2119999999999997
1976-10-31,2.006
1976-11-30,0.0
1976-12-31,0.0
1977-01-31,0.0
1977-02-28,0.0
1977-03-31,0.0
1977-04-30,0.0
1977-05-31,0.0
1977-06-30,0.0
1977-07-31,0.0
1977-08-31,1.402
1977-09-30,0.0
1977-10-31,0.0
1977-11-30,0.0
1977-12-31,0.0
1978-01-31,0.0
1978-02-28,1.5719999999999998
1978-03-31,9.823
1978-04-30,10.857000000000001
