date,kaf
1970-10-31,176.21699999999996
1970-11-30,129.088
1970-12-31,112.02299999999998
1971-01-31,91.933
1971-02-28,114.96999999999998
1971-03-31,101.959
1971-04-30,154.846
1971-05-31,178.25599999999997
1971-06-30,220.725
1971-07-31,223.569
1971-08-31,235.92900000000003
1971-09-30,207.537
1971-10-31,175.423
1971-11-30,128.422
1971-12-31,111.39499999999998
1972-01-31,96.21600000000001
1972-02-29,119.528
1972-03-31,106.449
1972-04-30,160.299
1972-05-31,184.241
1972-06-30,227.49599999999998
1972-07-31,230.465
1972-08-31,243.074
1972-09-30,214.048
1972-10-31,181.35
1972-11-30,133.389
1972-12-31,116.07799999999996
1973-01-31,85.963
1973-02-28,108.616
1973-03-31,95.699
1973-04-30,147.245
1973-05-31,169.91400000000002
1973-06-30,211.28700000000003
1973-07-31,213.956
1973-08-31,225.96900000000002
1973-09-30,198.46099999999998
1973-10-31,167.15899999999996
1973-11-30,123.78900000000002
1973-12-31,106.789
1974-01-31,91.571
1974-02-28,114.846
1974-03-31,101.762
1974-04-30,152.616
1974-05-31,175.80899999999997
1974-06-30,217.956
1974-07-31,220.748
1974-08-31,233.00600000000003
1974-09-30,204.87400000000002
1974-10-31,172.998
1974-11-30,128.681
1974-12-31,111.40100000000001
1975-01-31,87.55399999999999
1975-02-28,110.57
1975-03-31,97.55
1975-04-30,147.501
1975-05-31,170.195
1975-06-30,211.605
1975-07-31,214.27900000000002
1975-08-31,226.30400000000003
1975-09-30,198.766
1975-10-31,167.43699999999995
1975-11-30,124.02200000000002
1975-12-31,107.008
1976-01-31,94.302
1976-02-29,117.751
1976-03-31,104.624
1976-04-30,156.092
1976-05-31,179.623
1976-06-30,222.272
1976-07-31,225.144
1976-08-31,237.561
1976-09-30,209.025
1976-10-31,176.77700000000002
1976-11-30,131.847
1976-12-31,114.385
1977-01-31,90.92
1977-02-28,114.15299999999999
1977-03-31,101.079
1977-04-30,151.787
1977-05-31,174.899
1977-06-30,216.926
1977-07-31,219.7
1977-08-31,231.92
1977-09-30,203.884
1977-10-31,172.09699999999995
1977-11-30,127.92600000000002
1977-12-31,110.68799999999999
1978-01-31,79.27599999999998
1978-02-28,101.761
1978-03-31,88.87200000000001
1978-04-30,136.963
1978-05-31,158.628
1978-06-30,198.519
1978-07-31,200.952
1978-08-31,212.495
1978-09-30,186.182
1978-10-31,155.98
1978-11-30,114.42299999999999
1978-12-31,97.959
1979-01-31,89.696
1979-02-28,112.851
1979-03-31,99.796
1979-04-30,150.22899999999998
1979-05-31,173.18900000000005
1979-06-30,214.992
1979-07-31,217.729
1979-08-31,229.879
1979-09-30,202.024
1979-10-31,170.403
1979-11-30,126.507
1979-12-31,109.35099999999998
1980-01-31,86.19399999999997
1980-02-29,109.124
1980-03-31,96.125
1980-04-30,145.77100000000004
1980-05-31,168.295
1980-06-30,209.456
1980-07-31,212.09099999999998
1980-08-31,224.03599999999997
1980-09-30,196.7
1980-10-31,165.55599999999995
1980-11-30,122.446
1980-12-31,105.522
1981-01-31,99.10600000000001
1981-02-28,122.86399999999999
1981-03-31,109.661
1981-04-30,162.208
1981-05-31,186.33700000000002
1981-06-30,229.867
1981-07-31,232.88
1981-08-31,245.576
1981-09-30,216.328
1981-10-31,183.426
1981-11-30,137.418
1981-12-31,119.637
1982-01-31,87.119
1982-02-28,110.10799999999999
1982-03-31,97.094
1982-04-30,146.947
1982-05-31,169.58700000000002
1982-06-30,210.91700000000003
1982-07-31,213.579
1982-08-31,225.579
1982-09-30,198.105
1982-10-31,166.83499999999995
1982-11-30,123.51799999999999
1982-12-31,106.53299999999999
1983-01-31,76.97199999999998
1983-02-28,99.31000000000002
1983-03-31,86.45700000000001
1983-04-30,134.03
1983-05-31,155.41
1983-06-30,194.877
1983-07-31,197.243
1983-08-31,208.653
1983-09-30,182.68
1983-10-31,152.792
1983-11-30,111.75200000000001
1983-12-31,95.441
