date,kaf
1970-10-31,1.52
1970-11-30,0.1
1970-12-31,0.02
1971-01-31,0.37
1971-02-28,0.22
1971-03-31,2.75
1971-04-30,2.61
1971-05-31,5.45
1971-06-30,6.87
1971-07-31,7.5
1971-08-31,6.1
1971-09-30,1.35
1971-10-31,1.52
1971-11-30,0.1
1971-12-31,0.02
1972-01-31,0.37
1972-02-29,0.22
1972-03-31,2.75
1972-04-30,2.61
1972-05-31,5.45
1972-06-30,6.87
1972-07-31,7.5
1972-08-31,6.1
1972-09-30,1.35
1972-10-31,1.52
1972-11-30,0.1
1972-12-31,0.02
1973-01-31,0.37
1973-02-28,0.22
1973-03-31,2.75
1973-04-30,2.61
1973-05-31,5.45
1973-06-30,6.87
1973-07-31,7.5
1973-08-31,6.1
1973-09-30,1.35
1973-10-31,1.52
1973-11-30,0.1
1973-12-31,0.02
1974-01-31,0.37
1974-02-28,0.22
1974-03-31,2.75
1974-04-30,2.61
1974-05-31,5.45
1974-06-30,6.87
1974-07-31,7.5
1974-08-31,6.1
1974-09-30,1.35
1974-10-31,1.52
1974-11-30,0.1
1974-12-31,0.02
1975-01-31,0.37
1975-02-28,0.22
1975-03-31,2.75
1975-04-30,2.61
1975-05-31,5.45
1975-06-30,6.87
1975-07-31,7.5
1975-08-31,6.1
1975-09-30,1.35
1975-10-31,1.52
1975-11-30,0.1
1975-12-31,0.02
1976-01-31,0.37
1976-02-29,0.22
1976-03-31,2.75
1976-04-30,2.61
1976-05-31,5.45
1976-06-30,6.87
1976-07-31,7.5
1976-08-31,6.1
1976-09-30,1.35
1976-10-31,1.52
1976-11-30,0.1
1976-12-31,0.02
1977-01-31,0.37
1977-02-28,0.22
1977-03-31,2.75
1977-04-30,2.61
1977-05-31,5.45
1977-06-30,6.87
1977-07-31,7.5
1977-08-31,6.1
1977-09-30,1.35
1977-10-31,1.52
1977-11-30,0.1
1977-12-31,0.02
1978-01-31,0.37
1978-02-28,0.22
1978-03-31,2.75
1978-04-30,2.61
1978-05-31,5.45
1978-06-30,6.87
1978-07-31,7.5
1978-08-31,6.1
1978-09-30,1.35
1978-10-31,1.52
1978-11-30,0.1
1978-12-31,0.02
1979-01-31,0.37
1979-02-28,0.22
1979-03-31,2.75
1979-04-30,2.61
1979-05-31,5.45
1979-06-30,6.87
1979-07-31,7.5
1979-08-31,6.1
1979-09-30,1.35
1979-10-31,1.52
1979-11-30,0.1
1979-12-31,0.02
1980-01-31,0.37
1980-02-29,0.22
1980-03-31,2.75
1980-04-30,2.61
1980-05-31,5.45
1980-06-30,6.87
1980-07-31,7.5
1980-08-31,6.1
1980-09-30,1.35
1980-10-31,1.52
1980-11-30,0.1
1980-12-31,0.02
1981-01-31,0.37
1981-02-28,0.22
1981-03-31,2.75
1981-04-30,2.61
1981-05-31,5.45
1981-06-30,6.87
1981-07-31,7.5
1981-08-31,6.1
1981-09-30,1.35
1981-10-31,1.52
1981-11-30,0.1
1981-12-31,0.02
1982-01-31,0.37
1982-02-28,0.22
1982-03-31,2.75
1982-04-30,2.61
1982-05-31,5.45
1982-06-30,6.87
1982-07-31,7.5
1982-08-31,6.1
1982-09-30,1.35
1982-10-31,1.52
1982-11-30,0.1
1982-12-31,0.02
1983-01-31,0.37
1983-02-28,0.22
1983-03-31,2.75
1983-04-30,2.61
1983-05-31,5.45
1983-06-30,6.87
1983-07-31,7.5
1983-08-31,6.1
1983-09-30,1.35
1983-10-31,1.52
1983-11-30,0.1
1983-12-31,0.02
1984-01-31,0.37
1984-02-29,0.22
1984-03-31,2.75
1984-04-30,2.61
1984-05-31,5.45
1984-06-30,6.87
1984-07-31,7.5
1984-08-31,6.1
1984-09-30,1.35
1984-10-31,1.52
1984-11-30,0.1
1984-12-31,0.02
1985-01-31,0.37
1985-02-28,0.22
1985-03-31,2.75
1985-04-30,2.61
1985-05-31,5.45
1985-06-30,6.87
1985-07-31,7.5
1985-08-31,6.1
1985-09-30,1.35
1985-10-31,1.52
1985-11-30,0.1
1985-12-31,0.02
1986-01-31,0.37
1986-02-28,0.22
1986-03-31,2.75
1986-04-30,2.61
1986-05-31,5.45
1986-06-30,6.87
1986-07-31,7.5
1986-08-31,6.1
1986-09-30,1.35
1986-10-31,1.52
1986-11-30,0.1
1986-12-31,0.02
1987-01-31,0.37
1987-02-28,0.22
1987-03-31,2.75
1987-04-30,2.61
1987-05-31,5.45
1987-06-30,6.87
1987-07-31,7.5
1987-08-31,6.1
1987-09-30,1.35
1987-10-31,1.52
1987-11-30,0.1
1987-12-31,0.02
1988-01-31,0.37
1988-02-29,0.22
1988-03-31,2.75
1988-04-30,2.61
1988-05-31,5.45
1988-06-30,6.87
1988-07-31,7.5
1988-08-31,6.1
1988-09-30,1.35
1988-10-31,1.52
1988-11-30,0.1
1988-12-31,0.02
1989-01-31,0.37
1989-02-28,0.22
1989-03-31,2.75
1989-04-30,2.61
1989-05-31,5.45
1989-06-30,6.87
1989-07-31,7.5
1989-08-31,6.1
1989-09-30,1.35
1989-10-31,1.52
1989-11-30,0.1
1989-12-31,0.02
1990-01-31,0.37
1990-02-28,0.22
1990-03-31,2.75
1990-04-30,2.61
1990-05-31,5.45
1990-06-30,6.87
1990-07-31,7.5
1990-08-31,6.1
1990-09-30,1.35
1990-10-31,1.52
1990-11-30,0.1
1990-12-31,0.02
1991-01-31,0.37
1991-02-28,0.22
1991-03-31,2.75
1991-04-30,2.61
1991-05-31,5.45
1991-06-30,6.87
1991-07-31,7.5
1991-08-31,6.1
1991-09-30,1.35
1991-10-31,1.52
1991-11-30,0.1
1991-12-31,0.02
1992-01-31,0.37
1992-02-29,0.22
1992-03-31,2.75
1992-04-30,2.61
1992-05-31,5.45
1992-06-30,6.87
1992-07-31,7.5
1992-08-31,6.1
1992-09-30,1.35
1992-10-31,1.52
1992-11-30,0.1
1992-12-31,0.02
1993-01-31,0.37
1993-02-28,0.22
1993-03-31,2.75
1993-04-30,2.61
1993-05-31,5.45
1993-06-30,6.87
1993-07-31,7.5
1993-08-31,6.1
1993-09-30,1.35
1993-10-31,1.52
1993-11-30,0.1
1993-12-31,0.02
1994-01-31,0.37
1994-02-28,0.22
1994-03-31,2.75
1994-04-30,2.61
1994-05-31,5.45
1994-06-30,6.87
1994-07-31,7.5
1994-08-31,6.1
1994-09-30,1.35
1994-10-31,1.52
1994-11-30,0.1
1994-12-31,0.02
1995-01-31,0.37
1995-02-28,0.22
1995-03-31,2.75
1995-04-30,2.61
1995-05-31,5.45
1995-06-30,6.87
1995-07-31,7.5
1995-08-31,6.1
1995-09-30,1.35
1995-10-31,1.52
1995-11-30,0.1
1995-12-31,0.02
1996-01-31,0.37
1996-02-29,0.22
1996-03-31,2.75
1996-04-30,2.61
1996-05-31,5.45
1996-06-30,6.87
1996-07-31,7.5
1996-08-31,6.1
1996-09-30,1.35
1996-10-31,1.52
1996-11-30,0.1
1996-12-31,0.02
1997-01-31,0.37
1997-02-28,0.22
1997-03-31,2.75
1997-04-30,2.61
1997-05-31,5.45
1997-06-30,6.87
1997-07-31,7.5
1997-08-31,6.1
1997-09-30,1.35
1997-10-31,1.52
1997-11-30,0.1
1997-12-31,0.02
1998-01-31,0.37
1998-02-28,0.22
1998-03-31,2.75
1998-04-30,2.61
1998-05-31,5.45
1998-06-30,6.87
1998-07-31,7.5
1998-08-31,6.1
1998-09-30,1.35
1998-10-31,1.52
1998-11-30,0.1
1998-12-31,0.02
1999-01-31,0.37
1999-02-28,0.22
1999-03-31,2.75
1999-04-30,2.61
1999-05-31,5.45
1999-06-30,6.87
1999-07-31,7.5
1999-08-31,6.1
1999-09-30,1.35
1999-10-31,1.52
1999-11-30,0.1
1999-12-31,0.02
2000-01-31,0.37
2000-02-29,0.22
2000-03-31,2.75
2000-04-30,2.61
2000-05-31,5.45
2000-06-30,6.87
2000-07-31,7.5
2000-08-31,6.1
2000-09-30,1.35
2000-10-31,1.52
2000-11-30,0.1
2000-12-31,0.02
2001-01-31,0.37
2001-02-28,0.22
2001-03-31,2.75
2001-04-30,2.61
2001-05-31,5.45
2001-06-30,6.87
2001-07-31,7.5
2001-08-31,6.1
2001-09-30,1.35
2001-10-31,1.52
2001-11-30,0.1
2001-12-31,0.02
2002-01-31,0.37
2002-02-28,0.22
2002-03-31,2.75
2002-04-30,2.61
2002-05-31,5.45
2002-06-30,6.87
2002-07-31,7.5
2002-08-31,6.1
2002-09-30,1.35
2002-10-31,1.52
2002-11-30,0.1
2002-12-31,0.02
2003-01-31,0.37
2003-02-28,0.22
2003-03-31,2.75
2003-04-30,2.61
2003-05-31,5.45
2003-06-30,6.87
2003-07-31,7.5
2003-08-31,6.1
2003-09-30,1.35
