date,kaf
1970-10-31,68.75
1970-11-30,61.307044999999995
1970-12-31,68.75
1971-01-31,59.147670999999995
1971-02-28,24.397683999999998
1971-03-31,57.954735
1971-04-30,66.529999
1971-05-31,68.75
1971-06-30,66.529999
1971-07-31,62.329765
1971-08-31,62.487171
1971-09-30,60.71324499999999
1971-10-31,63.052402
1971-11-30,66.529999
1971-12-31,29.723663000000002
1972-01-31,22.34502
1972-02-29,28.411777
1972-03-31,68.75
1972-04-30,66.529999
1972-05-31,62.759246999999995
1972-06-30,66.529999
1972-07-31,68.75
1972-08-31,68.75
1972-09-30,40.759578999999995
1972-10-31,63.052402
1972-11-30,66.529999
1972-12-31,57.053776
1973-01-31,68.75
1973-02-28,41.16124
1973-03-31,56.000652
1973-04-30,66.529999
1973-05-31,68.75
1973-06-30,66.529999
1973-07-31,68.75
1973-08-31,68.75
1973-09-30,60.71324499999999
1973-10-31,68.75
1973-11-30,66.529999
1973-12-31,52.60429
1974-01-31,19.21801
1974-02-28,50.866783
1974-03-31,57.954735
1974-04-30,66.529999
1974-05-31,68.75
1974-06-30,66.529999
1974-07-31,68.746002
1974-08-31,68.75
1974-09-30,57.312709999999996
1974-10-31,68.75
1974-11-30,61.307044999999995
1974-12-31,68.75
1975-01-31,43.514977
1975-02-28,62.09
1975-03-31,68.75
1975-04-30,66.529999
1975-05-31,68.75
1975-06-30,66.528
1975-07-31,62.329765
1975-08-31,68.746002
1975-09-30,66.528
1975-10-31,68.75
1975-11-30,61.307044999999995
1975-12-31,25.859415
1976-01-31,50.076233
1976-02-29,27.121073
1976-03-31,57.954735
1976-04-30,66.529999
1976-05-31,68.75
1976-06-30,59.765488
1976-07-31,62.329765
1976-08-31,62.487171
1976-09-30,56.865730000000006
1976-10-31,68.75
1976-11-30,61.307044999999995
1976-12-31,32.633263
1977-01-31,18.340242
1977-02-28,50.019535
1977-03-31,57.954735
1977-04-30,66.529999
1977-05-31,68.75
1977-06-30,66.529999
1977-07-31,68.746002
1977-08-31,55.298149
1977-09-30,66.529999
1977-10-31,68.75
1977-11-30,41.365982
1977-12-31,58.01086
1978-01-31,68.75
1978-02-28,62.09
1978-03-31,68.75
1978-04-30,66.529999
1978-05-31,68.75
1978-06-30,66.529999
1978-07-31,68.75
1978-08-31,68.75
1978-09-30,66.529999
1978-10-31,68.75
1978-11-30,66.529999
1978-12-31,68.75
1979-01-31,68.75
1979-02-28,42.235378000000004
1979-03-31,57.954735
1979-04-30,66.529999
1979-05-31,68.75
1979-06-30,66.528
1979-07-31,68.75
1979-08-31,68.746002
1979-09-30,66.529999
1979-10-31,63.052402
1979-11-30,61.307044999999995
1979-12-31,68.75
1980-01-31,42.300438
1980-02-29,40.179081
1980-03-31,56.648788
1980-04-30,66.529999
1980-05-31,62.759246999999995
1980-06-30,66.529999
1980-07-31,68.75
1980-08-31,68.75
1980-09-30,66.528
1980-10-31,68.75
1980-11-30,40.129238
1980-12-31,68.75
1981-01-31,51.866329
1981-02-28,62.09
1981-03-31,57.954735
1981-04-30,66.529999
1981-05-31,68.75
1981-06-30,66.529999
1981-07-31,62.329765
1981-08-31,62.487171
1981-09-30,53.311298
1981-10-31,68.75
1981-11-30,66.529999
1981-12-31,38.068943
1982-01-31,59.695187
1982-02-28,62.09
1982-03-31,55.61040500000001
1982-04-30,66.529999
1982-05-31,68.75
1982-06-30,66.529999
1982-07-31,68.75
1982-08-31,68.75
1982-09-30,66.529999
1982-10-31,68.75
1982-11-30,61.307044999999995
1982-12-31,68.75
1983-01-31,29.426516999999997
1983-02-28,40.405663
1983-03-31,47.620388
1983-04-30,66.529999
1983-05-31,68.75
1983-06-30,66.528
1983-07-31,68.75
1983-08-31,68.75
1983-09-30,61.143612
1983-10-31,63.052402
1983-11-30,66.529999
1983-12-31,15.599715
1984-01-31,68.75
1984-02-29,58.657352
1984-03-31,57.954735
1984-04-30,66.529999
1984-05-31,68.75
1984-06-30,66.529999
1984-07-31,68.75
1984-08-31,68.75
1984-09-30,60.71324499999999
1984-10-31,68.75
1984-11-30,66.529999
1984-12-31,63.526001
1985-01-31,49.46246
1985-02-28,52.573788
1985-03-31,57.954735
1985-04-30,66.529999
1985-05-31,62.759246999999995
1985-06-30,66.529999
1985-07-31,68.75
1985-08-31,62.487171
1985-09-30,58.417736
1985-10-31,68.75
1985-11-30,66.529999
1985-12-31,68.75
1986-01-31,34.884529
1986-02-28,48.947075
1986-03-31,57.954735
1986-04-30,66.529999
1986-05-31,68.746002
1986-06-30,66.528
1986-07-31,68.75
1986-08-31,68.75
1986-09-30,60.71324499999999
1986-10-31,68.75
1986-11-30,40.156998
1986-12-31,28.211261999999998
1987-01-31,48.305126
1987-02-28,62.09
1987-03-31,68.75
1987-04-30,66.529999
1987-05-31,68.75
1987-06-30,66.529999
1987-07-31,68.75
1987-08-31,62.487171
1987-09-30,66.529999
1987-10-31,68.75
1987-11-30,42.997879
1987-12-31,68.75
1988-01-31,21.3769
1988-02-29,62.09
1988-03-31,68.75
1988-04-30,66.529999
1988-05-31,68.75
1988-06-30,59.167522
1988-07-31,68.75
1988-08-31,68.75
1988-09-30,58.093472
1988-10-31,63.052402
1988-11-30,61.307044999999995
1988-12-31,68.75
1989-01-31,65.65637199999999
1989-02-28,62.09
1989-03-31,68.75
1989-04-30,66.529999
1989-05-31,68.75
1989-06-30,66.529999
1989-07-31,68.75
1989-08-31,68.746002
1989-09-30,51.085487
1989-10-31,68.75
1989-11-30,49.254387
1989-12-31,63.526001
1990-01-31,68.75
1990-02-28,62.09
1990-03-31,68.75
1990-04-30,66.529999
1990-05-31,68.75
1990-06-30,66.529999
1990-07-31,68.75
1990-08-31,68.75
1990-09-30,50.791278999999996
1990-10-31,68.75
1990-11-30,66.529999
1990-12-31,36.646435
1991-01-31,44.434253999999996
1991-02-28,62.09
1991-03-31,68.75
1991-04-30,66.529999
1991-05-31,68.75
1991-06-30,66.529999
1991-07-31,68.75
1991-08-31,68.75
1991-09-30,66.529999
1991-10-31,63.052402
1991-11-30,66.529999
1991-12-31,68.232788
1992-01-31,27.170267
1992-02-29,50.064034
1992-03-31,57.954735
1992-04-30,66.529999
1992-05-31,68.746002
1992-06-30,66.529999
1992-07-31,68.75
1992-08-31,68.75
1992-09-30,66.529999
1992-10-31,68.75
1992-11-30,66.529999
1992-12-31,58.143051
1993-01-31,32.988289
1993-02-28,44.21487
1993-03-31,54.221661
1993-04-30,66.529999
1993-05-31,62.759246999999995
1993-06-30,66.529999
1993-07-31,68.75
1993-08-31,68.746002
1993-09-30,60.71324499999999
1993-10-31,63.052402
1993-11-30,66.529999
1993-12-31,68.75
1994-01-31,15.542378
1994-02-28,21.579781
1994-03-31,57.954735
1994-04-30,66.529999
1994-05-31,68.75
1994-06-30,66.529999
1994-07-31,68.75
1994-08-31,68.75
1994-09-30,66.529999
1994-10-31,68.75
1994-11-30,61.307044999999995
1994-12-31,27.179443
1995-01-31,68.75
1995-02-28,47.50967
1995-03-31,57.954735
1995-04-30,66.529999
1995-05-31,68.75
1995-06-30,60.545322
1995-07-31,68.75
1995-08-31,68.75
1995-09-30,66.529999
1995-10-31,68.75
1995-11-30,66.529999
1995-12-31,68.75
1996-01-31,68.75
1996-02-29,42.25909
1996-03-31,57.954735
1996-04-30,66.529999
1996-05-31,68.75
1996-06-30,66.529999
1996-07-31,68.75
1996-08-31,68.75
1996-09-30,60.71324499999999
1996-10-31,63.052402
1996-11-30,61.307044999999995
1996-12-31,68.75
1997-01-31,56.362377
1997-02-28,47.50967
1997-03-31,57.954735
1997-04-30,66.529999
1997-05-31,62.759246999999995
1997-06-30,66.529999
1997-07-31,68.75
1997-08-31,62.487171
1997-09-30,60.71324499999999
1997-10-31,63.052402
1997-11-30,66.529999
1997-12-31,68.75
1998-01-31,68.75
1998-02-28,47.50967
1998-03-31,30.126087
1998-04-30,66.529999
1998-05-31,68.75
1998-06-30,60.545322
1998-07-31,68.75
1998-08-31,68.746002
1998-09-30,66.529999
1998-10-31,68.75
1998-11-30,38.460613
1998-12-31,67.999443
1999-01-31,68.50797299999999
1999-02-28,21.579596
1999-03-31,30.126087
1999-04-30,66.529999
1999-05-31,62.759246999999995
1999-06-30,66.529999
1999-07-31,68.75
1999-08-31,62.487171
1999-09-30,60.71324499999999
1999-10-31,68.75
1999-11-30,66.529999
1999-12-31,55.358242000000004
2000-01-31,44.26215
2000-02-29,47.50967
2000-03-31,57.954735
2000-04-30,66.529999
2000-05-31,62.759246999999995
2000-06-30,66.529999
2000-07-31,68.75
2000-08-31,68.746002
2000-09-30,66.529999
2000-10-31,63.052402
2000-11-30,66.529999
2000-12-31,27.179443
2001-01-31,27.687975
2001-02-28,58.449596
2001-03-31,57.954735
2001-04-30,66.529999
2001-05-31,62.759246999999995
2001-06-30,66.529999
2001-07-31,68.75
2001-08-31,68.75
2001-09-30,66.529999
2001-10-31,68.75
2001-11-30,61.307044999999995
2001-12-31,67.459908
2002-01-31,15.542378
2002-02-28,47.50967
2002-03-31,68.75
2002-04-30,66.529999
2002-05-31,68.75
2002-06-30,66.529999
2002-07-31,68.75
2002-08-31,68.75
2002-09-30,60.71324499999999
2002-10-31,63.052402
2002-11-30,66.529999
2002-12-31,27.179443
2003-01-31,15.542378
2003-02-28,62.09
2003-03-31,58.771976
2003-04-30,40.685608
2003-05-31,49.397583000000004
2003-06-30,59.41769
2003-07-31,66.66011800000001
2003-08-31,51.467453000000006
2003-09-30,18.827220999999998
