date,kaf
1970-10-31,0.0
1970-11-30,0.0
1970-12-31,0.0
1971-01-31,0.0
1971-02-28,0.0
1971-03-31,0.0
1971-04-30,0.0
1971-05-31,64.071701
1971-06-30,57.883179000000005
1971-07-31,81.495964
1971-08-31,84.802635
1971-09-30,50.236874
1971-10-31,12.983865
1971-11-30,0.0
1971-12-31,0.0
1972-01-31,0.0
1972-02-29,0.0
1972-03-31,0.0
1972-04-30,0.0
1972-05-31,70.09634399999999
1972-06-30,83.770103
1972-07-31,85.197906
1972-08-31,88.647003
1972-09-30,76.606316
1972-10-31,0.0
1972-11-30,0.0
1972-12-31,0.0
1973-01-31,0.0
1973-02-28,0.0
1973-03-31,0.0
1973-04-30,0.0
1973-05-31,17.835783
1973-06-30,52.90620799999999
1973-07-31,76.506134
1973-08-31,47.520965999999994
1973-09-30,41.511002000000005
1973-10-31,5.115803
1973-11-30,0.0
1973-12-31,0.0
1974-01-31,0.0
1974-02-28,0.0
1974-03-31,0.0
1974-04-30,0.0
1974-05-31,21.516582
1974-06-30,57.146308999999995
1974-07-31,66.478767
1974-08-31,52.043652
1974-09-30,74.773895
1974-10-31,14.343287
1974-11-30,0.0
1974-12-31,0.0
1975-01-31,0.0
1975-02-28,0.0
1975-03-31,0.0
1975-04-30,6.792586
1975-05-31,18.332159
1975-06-30,53.53614399999999
1975-07-31,76.41109499999999
1975-08-31,48.234364
1975-09-30,21.643892
1975-10-31,7.914581
1975-11-30,0.0
1975-12-31,0.0
1976-01-31,0.0
1976-02-29,0.0
1976-03-31,0.0
1976-04-30,0.0
1976-05-31,68.540382
1976-06-30,81.04705
1976-07-31,82.430984
1976-08-31,60.320206000000006
1976-09-30,39.284508
1976-10-31,0.0
1976-11-30,0.0
1976-12-31,0.0
1977-01-31,0.0
1977-02-28,0.0
1977-03-31,0.0
1977-04-30,-0.0
1977-05-31,20.791401
1977-06-30,71.515114
1977-07-31,77.953896
1977-08-31,82.791702
1977-09-30,25.821199
1977-10-31,0.0
1977-11-30,0.0
1977-12-31,0.0
1978-01-31,0.0
1978-02-28,0.0
1978-03-31,0.0
1978-04-30,0.0
1978-05-31,48.097609999999996
1978-06-30,68.749123
1978-07-31,69.934898
1978-08-31,72.796761
1978-09-30,33.120178
1978-10-31,0.0
1978-11-30,0.0
1978-12-31,0.0
1979-01-31,0.0
1979-02-28,0.0
1979-03-31,0.0
1979-04-30,0.0
1979-05-31,19.487944
1979-06-30,54.800339
1979-07-31,78.667061
1979-08-31,49.506229
1979-09-30,45.584763
1979-10-31,0.0
1979-11-30,0.0
1979-12-31,0.0
1980-01-31,0.0
1980-02-29,0.0
1980-03-31,0.0
1980-04-30,5.215798
1980-05-31,56.906321999999996
1980-06-30,74.517143
1980-07-31,75.79586
1980-08-31,78.883224
1980-09-30,2.184544
1980-10-31,0.0
1980-11-30,0.0
1980-12-31,0.0
1981-01-31,0.0
1981-02-28,0.0
1981-03-31,0.0
1981-04-30,17.788801
1981-05-31,71.345901
1981-06-30,76.581734
1981-07-31,86.589241
1981-08-31,64.09684
1981-09-30,80.87754100000001
1981-10-31,0.0
1981-11-30,0.0
1981-12-31,0.0
1982-01-31,0.0
1982-02-28,0.0
1982-03-31,0.0
1982-04-30,3.951279
1982-05-31,55.449013
1982-06-30,52.324486
1982-07-31,76.228706
1982-08-31,79.332718
1982-09-30,40.867001
1982-10-31,4.566279
1982-11-30,0.0
1982-12-31,0.0
1983-01-31,0.0
1983-02-28,0.0
1983-03-31,0.0
1983-04-30,0.0
1983-05-31,43.849705
1983-06-30,44.185444
1983-07-31,53.143936
1983-08-31,38.314133
1983-09-30,0.0
1983-10-31,0.0
1983-11-30,0.0
1983-12-31,0.0
1984-01-31,0.0
1984-02-29,0.0
1984-03-31,0.0
1984-04-30,22.386385
1984-05-31,28.084427
1984-06-30,79.925934
1984-07-31,88.69937900000001
1984-08-31,92.28319499999999
1984-09-30,19.989067000000002
1984-10-31,0.0
1984-11-30,7.171582000000001
1984-12-31,0.0
1985-01-31,0.0
1985-02-28,0.0
1985-03-31,0.0
1985-04-30,14.514772
1985-05-31,67.552879
1985-06-30,74.118134
1985-07-31,68.129852
1985-08-31,60.113609
1985-09-30,77.094131
1985-10-31,0.0
1985-11-30,0.0
1985-12-31,0.0
1986-01-31,0.0
1986-02-28,0.0
1986-03-31,0.0
1986-04-30,0.0
1986-05-31,19.557774
1986-06-30,54.924213
1986-07-31,64.070663
1986-08-31,81.95491
1986-09-30,48.244628999999996
1986-10-31,0.0
1986-11-30,0.0
1986-12-31,0.0
1987-01-31,0.0
1987-02-28,0.0
1987-03-31,0.0
1987-04-30,0.0
1987-05-31,65.802071
1987-06-30,58.576457999999995
1987-07-31,81.057846
1987-08-31,58.2379
1987-09-30,10.467831
1987-10-31,0.0
1987-11-30,0.0
1987-12-31,0.0
1988-01-31,0.0
1988-02-29,0.0
1988-03-31,0.0
1988-04-30,0.0
1988-05-31,68.460716
1988-06-30,81.218811
1988-07-31,67.847374
1988-08-31,85.954872
1988-09-30,37.62957
1988-10-31,-0.0
1988-11-30,0.0
1988-12-31,0.0
1989-01-31,0.0
1989-02-28,0.0
1989-03-31,0.0
1989-04-30,0.0
1989-05-31,73.384552
1989-06-30,77.765633
1989-07-31,86.42930600000001
1989-08-31,57.706238
1989-09-30,80.72760799999999
1989-10-31,0.0
1989-11-30,0.0
1989-12-31,0.0
1990-01-31,0.0
1990-02-28,0.0
