date,kaf
1970-10-31,68.75
1970-11-30,66.53
1970-12-31,31.253529381716934
1971-01-31,59.698792816627595
1971-02-28,62.09
1971-03-31,68.75
1971-04-30,66.53
1971-05-31,68.75
1971-06-30,66.528
1971-07-31,68.75
1971-08-31,68.75
1971-09-30,66.53
1971-10-31,68.75
1971-11-30,66.53
1971-12-31,68.75
1972-01-31,22.896792816627592
1972-02-29,54.89200000000002
1972-03-31,68.75
1972-04-30,66.53
1972-05-31,68.75
1972-06-30,66.53
1972-07-31,68.75
1972-08-31,68.74600000000001
1972-09-30,66.53
1972-10-31,68.75
1972-11-30,66.53
1972-12-31,68.75
1973-01-31,68.75
1973-02-28,62.09
1973-03-31,68.75
1973-04-30,66.53
1973-05-31,68.75
1973-06-30,66.528
1973-07-31,68.75
1973-08-31,68.75
1973-09-30,66.53
1973-10-31,68.75
1973-11-30,66.53
1973-12-31,65.78552938171694
1974-01-31,60.572185180224686
1974-02-28,46.16631101360422
1974-03-31,57.480302726655104
1974-04-30,66.53
1974-05-31,68.75
1974-06-30,66.53
1974-07-31,68.75
1974-08-31,68.75
1974-09-30,66.53
1974-10-31,68.75
1974-11-30,66.53
1974-12-31,68.75
1975-01-31,68.75
1975-02-28,21.098434456366032
1975-03-31,68.75
1975-04-30,66.53
1975-05-31,68.74600000000001
1975-06-30,66.53
1975-07-31,68.75
1975-08-31,68.75
1975-09-30,66.53
1975-10-31,68.75
1975-11-30,66.53
1975-12-31,68.75
1976-01-31,68.75
1976-02-29,62.09
1976-03-31,37.19528327784818
1976-04-30,66.53
1976-05-31,68.74600000000001
1976-06-30,66.53
1976-07-31,68.74600000000001
1976-08-31,68.75
1976-09-30,53.913192280019615
1976-10-31,68.75
1976-11-30,66.53
1976-12-31,33.713529381716945
1977-01-31,68.75
1977-02-28,24.64076367334263
1977-03-31,68.75
1977-04-30,66.53
1977-05-31,68.75
1977-06-30,66.53
1977-07-31,68.75
1977-08-31,68.75
1977-09-30,66.53
1977-10-31,68.75
1977-11-30,66.53
1977-12-31,68.75
1978-01-31,39.02700000000001
1978-02-28,62.09
1978-03-31,50.879
1978-04-30,66.53
1978-05-31,68.75
1978-06-30,66.53
1978-07-31,68.75
1978-08-31,68.75
1978-09-30,66.53
1978-10-31,68.75
1978-11-30,66.53
1978-12-31,68.75
1979-01-31,68.75
