date,kaf
1970-10-31,16.422005
1970-11-30,12.922015
1970-12-31,11.20107
1971-01-31,9.881549
1971-02-28,10.082264
1971-03-31,10.689916
1971-04-30,14.63734
1971-05-31,17.694654
1971-06-30,22.832645
1971-07-31,24.802309
1971-08-31,23.645153
1971-09-30,20.167078
1971-10-31,16.422005
1971-11-30,12.922015
1971-12-31,11.20107
1972-01-31,9.881549
1972-02-29,10.082264
1972-03-31,10.689916
1972-04-30,14.63734
1972-05-31,17.694654
1972-06-30,22.832645
1972-07-31,24.802309
1972-08-31,23.645153
1972-09-30,20.167078
1972-10-31,16.422005
1972-11-30,12.922015
1972-12-31,11.20107
1973-01-31,9.881549
1973-02-28,10.082264
1973-03-31,10.689916
1973-04-30,14.63734
1973-05-31,17.694654
1973-06-30,22.832645
1973-07-31,24.802309
1973-08-31,23.645153
1973-09-30,20.167078
1973-10-31,16.422005
1973-11-30,12.922015
1973-12-31,11.20107
1974-01-31,9.881549
1974-02-28,10.082264
1974-03-31,10.689916
1974-04-30,14.63734
1974-05-31,17.694654
1974-06-30,22.832645
1974-07-31,24.802309
1974-08-31,23.645153
1974-09-30,20.167078
1974-10-31,16.422005
1974-11-30,12.922015
1974-12-31,11.20107
1975-01-31,9.881549
1975-02-28,10.082264
1975-03-31,10.689916
1975-04-30,14.63734
1975-05-31,17.694654
1975-06-30,22.832645
1975-07-31,24.802309
1975-08-31,23.645153
1975-09-30,20.167078
1975-10-31,16.422005
1975-11-30,12.922015
1975-12-31,11.20107
1976-01-31,9.881549
1976-02-29,10.082264
1976-03-31,10.689916
1976-04-30,14.63734
1976-05-31,17.694654
1976-06-30,22.832645
1976-07-31,24.802309
1976-08-31,23.645153
1976-09-30,20.167078
1976-10-31,16.422005
1976-11-30,12.922015
1976-12-31,11.20107
1977-01-31,9.881549
1977-02-28,10.082264
1977-03-31,10.689916
1977-04-30,14.63734
1977-05-31,17.694654
1977-06-30,22.832645
1977-07-31,24.802309
1977-08-31,23.645153
1977-09-30,20.167078
1977-10-31,16.422005
1977-11-30,12.922015
1977-12-31,11.20107
1978-01-31,9.881549
1978-02-28,10.082264
1978-03-31,10.689916
1978-04-30,14.63734
1978-05-31,17.694654
1978-06-30,22.832645
1978-07-31,24.802309
1978-08-31,23.645153
1978-09-30,20.167078
1978-10-31,16.422005
1978-11-30,12.922015
1978-12-31,11.20107
1979-01-31,9.881549
1979-02-28,10.082264
1979-03-31,10.689916
1979-04-30,14.63734
1979-05-31,17.694654
1979-06-30,22.832645
1979-07-31,24.802309
1979-08-31,23.645153
1979-09-30,20.167078
1979-10-31,16.422005
1979-11-30,12.922015
1979-12-31,11.20107
1980-01-31,9.881549
1980-02-29,10.082264
1980-03-31,10.689916
1980-04-30,14.63734
1980-05-31,17.694654
1980-06-30,22.832645
1980-07-31,24.802309
1980-08-31,23.645153
1980-09-30,20.167078
1980-10-31,16.422005
1980-11-30,12.922015
1980-12-31,11.20107
1981-01-31,9.881549
1981-02-28,10.082264
1981-03-31,10.689916
1981-04-30,14.63734
1981-05-31,17.694654
1981-06-30,22.832645
1981-07-31,24.802309
1981-08-31,23.645153
1981-09-30,20.167078
1981-10-31,16.422005
1981-11-30,12.922015
1981-12-31,11.20107
1982-01-31,9.881549
1982-02-28,10.082264
1982-03-31,10.689916
1982-04-30,14.63734
1982-05-31,17.694654
1982-06-30,22.832645
1982-07-31,24.802309
1982-08-31,23.645153
1982-09-30,20.167078
1982-10-31,16.422005
1982-11-30,12.922015
1982-12-31,11.20107
1983-01-31,9.881549
1983-02-28,10.082264
1983-03-31,10.689916
1983-04-30,14.63734
1983-05-31,17.694654
1983-06-30,22.832645
1983-07-31,24.802309
1983-08-31,23.645153
1983-09-30,20.167078
1983-10-31,16.422005
1983-11-30,12.922015
1983-12-31,11.20107
1984-01-31,9.881549
1984-02-29,10.082264
1984-03-31,10.689916
1984-04-30,14.63734
1984-05-31,17.694654
1984-06-30,22.832645
1984-07-31,24.802309
1984-08-31,23.645153
1984-09-30,20.167078
1984-10-31,16.422005
1984-11-30,12.922015
1984-12-31,11.20107
1985-01-31,9.881549
1985-02-28,10.082264
1985-03-31,10.689916
1985-04-30,14.63734
1985-05-31,17.694654
1985-06-30,22.832645
1985-07-31,24.802309
1985-08-31,23.645153
1985-09-30,20.167078
1985-10-31,16.422005
1985-11-30,12.922015
1985-12-31,11.20107
1986-01-31,9.881549
1986-02-28,10.082264
1986-03-31,10.689916
1986-04-30,14.63734
1986-05-31,17.694654
1986-06-30,22.832645
1986-07-31,24.802309
1986-08-31,23.645153
1986-09-30,20.167078
1986-10-31,16.422005
1986-11-30,12.922015
1986-12-31,11.20107
1987-01-31,9.881549
1987-02-28,10.082264
1987-03-31,10.689916
1987-04-30,14.63734
1987-05-31,17.694654
1987-06-30,22.832645
1987-07-31,24.802309
1987-08-31,23.645153
1987-09-30,20.167078
1987-10-31,16.422005
1987-11-30,12.922015
