date,kaf
1970-10-31,20.540001
1970-11-30,12.87
1970-12-31,8.11
1971-01-31,6.35
1971-02-28,7.85
1971-03-31,12.03
1971-04-30,17.74
1971-05-31,25.379998999999998
1971-06-30,35.41
1971-07-31,36.139998999999996
1971-08-31,35.599998
1971-09-30,29.879998999999998
1971-10-31,20.540001
1971-11-30,12.87
1971-12-31,8.11
1972-01-31,6.35
1972-02-29,7.85
1972-03-31,12.03
1972-04-30,17.74
1972-05-31,25.379998999999998
1972-06-30,35.41
1972-07-31,36.139998999999996
1972-08-31,35.599998
1972-09-30,29.879998999999998
1972-10-31,20.540001
1972-11-30,12.87
1972-12-31,8.11
1973-01-31,6.35
1973-02-28,7.85
1973-03-31,12.03
1973-04-30,17.74
1973-05-31,25.379998999999998
1973-06-30,35.41
1973-07-31,36.139998999999996
1973-08-31,35.599998
1973-09-30,29.879998999999998
1973-10-31,20.540001
1973-11-30,12.87
1973-12-31,8.11
1974-01-31,6.35
1974-02-28,7.85
1974-03-31,12.03
1974-04-30,17.74
1974-05-31,25.379998999999998
1974-06-30,35.41
1974-07-31,36.139998999999996
1974-08-31,35.599998
1974-09-30,29.879998999999998
1974-10-31,20.540001
1974-11-30,12.87
1974-12-31,8.11
1975-01-31,6.35
1975-02-28,7.85
1975-03-31,12.03
1975-04-30,17.74
1975-05-31,25.379998999999998
1975-06-30,35.41
1975-07-31,36.139998999999996
1975-08-31,35.599998
1975-09-30,29.879998999999998
1975-10-31,20.540001
1975-11-30,12.87
1975-12-31,8.11
1976-01-31,6.35
1976-02-29,7.85
1976-03-31,12.03
1976-04-30,17.74
1976-05-31,25.379998999999998
1976-06-30,35.41
1976-07-31,36.139998999999996
1976-08-31,35.599998
1976-09-30,29.879998999999998
1976-10-31,20.540001
1976-11-30,12.87
1976-12-31,8.11
1977-01-31,6.35
1977-02-28,7.85
1977-03-31,12.03
1977-04-30,17.74
1977-05-31,25.379998999999998
1977-06-30,35.41
1977-07-31,36.139998999999996
1977-08-31,35.599998
1977-09-30,29.879998999999998
1977-10-31,20.540001
1977-11-30,12.87
1977-12-31,8.11
1978-01-31,6.35
1978-02-28,7.85
1978-03-31,12.03
1978-04-30,17.74
1978-05-31,25.379998999999998
1978-06-30,35.41
1978-07-31,36.139998999999996
1978-08-31,35.599998
1978-09-30,29.879998999999998
1978-10-31,20.540001
1978-11-30,12.87
1978-12-31,8.11
1979-01-31,6.35
1979-02-28,7.85
1979-03-31,12.03
1979-04-30,17.74
1979-05-31,25.379998999999998
1979-06-30,35.41
1979-07-31,36.139998999999996
1979-08-31,35.599998
1979-09-30,29.879998999999998
1979-10-31,20.540001
1979-11-30,12.87
1979-12-31,8.11
1980-01-31,6.35
1980-02-29,7.85
1980-03-31,12.03
1980-04-30,17.74
1980-05-31,25.379998999999998
1980-06-30,35.41
1980-07-31,36.139998999999996
1980-08-31,35.599998
1980-09-30,29.879998999999998
1980-10-31,20.540001
1980-11-30,12.87
1980-12-31,8.11
1981-01-31,6.35
1981-02-28,7.85
1981-03-31,12.03
1981-04-30,17.74
1981-05-31,25.379998999999998
1981-06-30,35.41
1981-07-31,36.139998999999996
1981-08-31,35.599998
1981-09-30,29.879998999999998
1981-10-31,20.540001
1981-11-30,12.87
1981-12-31,8.11
1982-01-31,6.35
1982-02-28,7.85
1982-03-31,12.03
1982-04-30,17.74
1982-05-31,25.379998999999998
1982-06-30,35.41
1982-07-31,36.139998999999996
1982-08-31,35.599998
1982-09-30,29.879998999999998
1982-10-31,20.540001
1982-11-30,12.87
1982-12-31,8.11
1983-01-31,6.35
1983-02-28,7.85
1983-03-31,12.03
1983-04-30,17.74
1983-05-31,25.379998999999998
1983-06-30,35.41
1983-07-31,36.139998999999996
1983-08-31,35.599998
1983-09-30,29.879998999999998
1983-10-31,20.540001
1983-11-30,12.87
1983-12-31,8.11
1984-01-31,6.35
1984-02-29,7.85
1984-03-31,12.03
1984-04-30,17.74
1984-05-31,25.379998999999998
1984-06-30,35.41
1984-07-31,36.139998999999996
1984-08-31,35.599998
1984-09-30,29.879998999999998
1984-10-31,20.540001
1984-11-30,12.87
1984-12-31,8.11
1985-01-31,6.35
1985-02-28,7.85
1985-03-31,12.03
1985-04-30,17.74
1985-05-31,25.379998999999998
1985-06-30,35.41
1985-07-31,36.139998999999996
1985-08-31,35.599998
1985-09-30,29.879998999999998
1985-10-31,20.540001
1985-11-30,12.87
1985-12-31,8.11
1986-01-31,6.35
1986-02-28,7.85
1986-03-31,12.03
1986-04-30,17.74
1986-05-31,25.379998999999998
1986-06-30,35.41
1986-07-31,36.139998999999996
1986-08-31,35.599998
1986-09-30,29.879998999999998
1986-10-31,20.540001
1986-11-30,12.87
1986-12-31,8.11
1987-01-31,6.35
1987-02-28,7.85
1987-03-31,12.03
1987-04-30,17.74
1987-05-31,25.379998999999998
1987-06-30,35.41
1987-07-31,36.139998999999996
1987-08-31,35.599998
1987-09-30,29.879998999999998
1987-10-31,20.540001
1987-11-30,12.87
1987-12-31,8.11
1988-01-31,6.35
1988-02-29,7.85
1988-03-31,12.03
1988-04-30,17.74
1988-05-31,25.379998999999998
1988-06-30,35.41
1988-07-31,36.139998999999996
1988-08-31,35.599998
1988-09-30,29.879998999999998
1988-10-31,20.540001
1988-11-30,12.87
1988-12-31,8.11
1989-01-31,6.35
1989-02-28,7.85
1989-03-31,12.03
1989-04-30,17.74
1989-05-31,25.379998999999998
1989-06-30,35.41
1989-07-31,36.139998999999996
1989-08-31,35.599998
1989-09-30,29.879998999999998
1989-10-31,20.540001
1989-11-30,12.87
1989-12-31,8.11
1990-01-31,6.35
1990-02-28,7.85
1990-03-31,12.03
1990-04-30,17.74
1990-05-31,25.379998999999998
1990-06-30,35.41
1990-07-31,36.139998999999996
1990-08-31,35.599998
1990-09-30,29.879998999999998
1990-10-31,20.540001
1990-11-30,12.87
1990-12-31,8.11
1991-01-31,6.35
1991-02-28,7.85
1991-03-31,12.03
1991-04-30,17.74
1991-05-31,25.379998999999998
1991-06-30,35.41
1991-07-31,36.139998999999996
1991-08-31,35.599998
1991-09-30,29.879998999999998
1991-10-31,20.540001
1991-11-30,12.87
1991-12-31,8.11
1992-01-31,6.35
1992-02-29,7.85
1992-03-31,12.03
1992-04-30,17.74
1992-05-31,25.379998999999998
1992-06-30,35.41
1992-07-31,36.139998999999996
1992-08-31,35.599998
1992-09-30,29.879998999999998
1992-10-31,20.540001
1992-11-30,12.87
1992-12-31,8.11
1993-01-31,6.35
1993-02-28,7.85
1993-03-31,12.03
1993-04-30,17.74
1993-05-31,25.379998999999998
1993-06-30,35.41
1993-07-31,36.139998999999996
1993-08-31,35.599998
1993-09-30,29.879998999999998
1993-10-31,20.540001
1993-11-30,12.87
1993-12-31,8.11
1994-01-31,6.35
1994-02-28,7.85
1994-03-31,12.03
1994-04-30,17.74
1994-05-31,25.379998999999998
1994-06-30,35.41
1994-07-31,36.139998999999996
1994-08-31,35.599998
1994-09-30,29.879998999999998
1994-10-31,20.540001
1994-11-30,12.87
1994-12-31,8.11
1995-01-31,6.35
1995-02-28,7.85
1995-03-31,12.03
1995-04-30,17.74
1995-05-31,25.379998999999998
1995-06-30,35.41
1995-07-31,36.139998999999996
1995-08-31,35.599998
1995-09-30,29.879998999999998
1995-10-31,20.540001
1995-11-30,12.87
1995-12-31,8.11
1996-01-31,6.35
1996-02-29,7.85
1996-03-31,12.03
1996-04-30,17.74
1996-05-31,25.379998999999998
1996-06-30,35.41
1996-07-31,36.139998999999996
1996-08-31,35.599998
1996-09-30,29.879998999999998
1996-10-31,20.540001
1996-11-30,12.87
1996-12-31,8.11
1997-01-31,6.35
1997-02-28,7.85
1997-03-31,12.03
1997-04-30,17.74
1997-05-31,25.379998999999998
1997-06-30,35.41
1997-07-31,36.139998999999996
1997-08-31,35.599998
1997-09-30,29.879998999999998
1997-10-31,20.540001
1997-11-30,12.87
1997-12-31,8.11
1998-01-31,6.35
1998-02-28,7.85
1998-03-31,12.03
1998-04-30,17.74
1998-05-31,25.379998999999998
1998-06-30,35.41
1998-07-31,36.139998999999996
1998-08-31,35.599998
1998-09-30,29.879998999999998
1998-10-31,20.540001
1998-11-30,12.87
1998-12-31,8.11
1999-01-31,6.35
1999-02-28,7.85
1999-03-31,12.03
1999-04-30,17.74
1999-05-31,25.379998999999998
1999-06-30,35.41
1999-07-31,36.139998999999996
1999-08-31,35.599998
