date,kaf
1921-10-31,9.11
1921-11-30,0.88
1921-12-31,0.05
1922-01-31,2.74
1922-02-28,1.54
1922-03-31,16.83
1922-04-30,11.24
1922-05-31,22.629998999999998
1922-06-30,33.150002
1922-07-31,38.279999
1922-08-31,32.48
1922-09-30,3.5
1922-10-31,9.11
1922-11-30,0.88
1922-12-31,0.05
1923-01-31,2.74
1923-02-28,1.54
1923-03-31,16.83
1923-04-30,11.24
1923-05-31,22.629998999999998
1923-06-30,33.150002
1923-07-31,38.279999
1923-08-31,32.48
1923-09-30,3.5
1923-10-31,9.11
1923-11-30,0.88
1923-12-31,0.05
1924-01-31,2.74
1924-02-29,1.54
1924-03-31,16.83
1924-04-30,11.24
1924-05-31,22.629998999999998
1924-06-30,33.150002
1924-07-31,38.279999
1924-08-31,32.48
1924-09-30,3.5
1924-10-31,9.11
1924-11-30,0.88
1924-12-31,0.05
1925-01-31,2.74
1925-02-28,1.54
1925-03-31,16.83
1925-04-30,11.24
1925-05-31,22.629998999999998
1925-06-30,33.150002
1925-07-31,38.279999
1925-08-31,32.48
1925-09-30,3.5
1925-10-31,9.11
1925-11-30,0.88
1925-12-31,0.05
1926-01-31,2.74
1926-02-28,1.54
1926-03-31,16.83
1926-04-30,11.24
1926-05-31,22.629998999999998
1926-06-30,33.150002
1926-07-31,38.279999
1926-08-31,32.48
1926-09-30,3.5
1926-10-31,9.11
1926-11-30,0.88
1926-12-31,0.05
1927-01-31,2.74
1927-02-28,1.54
1927-03-31,16.83
1927-04-30,11.24
1927-05-31,22.629998999999998
1927-06-30,33.150002
1927-07-31,38.279999
1927-08-31,32.48
1927-09-30,3.5
1927-10-31,9.11
1927-11-30,0.88
1927-12-31,0.05
1928-01-31,2.74
1928-02-29,1.54
1928-03-31,16.83
1928-04-30,11.24
1928-05-31,22.629998999999998
1928-06-30,33.150002
1928-07-31,38.279999
1928-08-31,32.48
1928-09-30,3.5
1928-10-31,9.11
1928-11-30,0.88
1928-12-31,0.05
1929-01-31,2.74
1929-02-28,1.54
1929-03-31,16.83
1929-04-30,11.24
1929-05-31,22.629998999999998
1929-06-30,33.150002
1929-07-31,38.279999
1929-08-31,32.48
1929-09-30,3.5
1929-10-31,9.11
1929-11-30,0.88
1929-12-31,0.05
1930-01-31,2.74
1930-02-28,1.54
1930-03-31,16.83
1930-04-30,11.24
1930-05-31,22.629998999999998
1930-06-30,33.150002
1930-07-31,38.279999
1930-08-31,32.48
1930-09-30,3.5
1930-10-31,9.11
1930-11-30,0.88
1930-12-31,0.05
1931-01-31,2.74
1931-02-28,1.54
1931-03-31,16.83
1931-04-30,11.24
1931-05-31,22.629998999999998
1931-06-30,33.150002
1931-07-31,38.279999
1931-08-31,32.48
1931-09-30,3.5
1931-10-31,9.11
1931-11-30,0.88
1931-12-31,0.05
1932-01-31,2.74
1932-02-29,1.54
1932-03-31,16.83
1932-04-30,11.24
1932-05-31,22.629998999999998
1932-06-30,33.150002
1932-07-31,38.279999
1932-08-31,32.48
1932-09-30,3.5
1932-10-31,9.11
1932-11-30,0.88
1932-12-31,0.05
1933-01-31,2.74
1933-02-28,1.54
1933-03-31,16.83
1933-04-30,11.24
1933-05-31,22.629998999999998
1933-06-30,33.150002
1933-07-31,38.279999
1933-08-31,32.48
1933-09-30,3.5
1933-10-31,9.11
1933-11-30,0.88
1933-12-31,0.05
1934-01-31,2.74
1934-02-28,1.54
1934-03-31,16.83
1934-04-30,11.24
1934-05-31,22.629998999999998
1934-06-30,33.150002
1934-07-31,38.279999
1934-08-31,32.48
1934-09-30,3.5
1934-10-31,9.11
1934-11-30,0.88
1934-12-31,0.05
1935-01-31,2.74
1935-02-28,1.54
1935-03-31,16.83
1935-04-30,11.24
1935-05-31,22.629998999999998
1935-06-30,33.150002
1935-07-31,38.279999
1935-08-31,32.48
1935-09-30,3.5
1935-10-31,9.11
1935-11-30,0.88
1935-12-31,0.05
1936-01-31,2.74
1936-02-29,1.54
1936-03-31,16.83
1936-04-30,11.24
1936-05-31,22.629998999999998
1936-06-30,33.150002
1936-07-31,38.279999
1936-08-31,32.48
1936-09-30,3.5
