date,kaf
1970-10-31,57.62424844035793
1970-11-30,13.009999999999998
1970-12-31,10.93
1971-01-31,9.49
1971-02-28,10.39
1971-03-31,10.86
1971-04-30,37.799
1971-05-31,311.1328720703445
1971-06-30,325.62
1971-07-31,328.0900000000001
1971-08-31,326.86
1971-09-30,47.15193689792481
1971-10-31,44.5419678245616
1971-11-30,13.009999999999998
1971-12-31,10.93
1972-01-31,9.49
1972-02-29,10.39
1972-03-31,110.87470952165549
1972-04-30,219.12000000000003
1972-05-31,321.57
1972-06-30,325.62
1972-07-31,328.0900000000001
1972-08-31,326.86
1972-09-30,36.685210756091216
1972-10-31,64.71083105111818
1972-11-30,13.009999999999998
1972-12-31,10.93
1973-01-31,9.49
1973-02-28,10.39
1973-03-31,10.86
1973-04-30,16.15
1973-05-31,47.95099999999997
1973-06-30,201.18743571734387
1973-07-31,328.0900000000001
1973-08-31,242.3214663557198
1973-09-30,22.930000000000003
1973-10-31,17.23
1973-11-30,13.009999999999998
1973-12-31,10.93
1974-01-31,9.49
1974-02-28,10.39
1974-03-31,10.86
1974-04-30,16.15
1974-05-31,50.655761260864786
1974-06-30,324.85071307484395
1974-07-31,328.0900000000001
1974-08-31,242.80580486314125
1974-09-30,22.930000000000003
1974-10-31,17.23
1974-11-30,13.009999999999998
1974-12-31,10.93
1975-01-31,9.49
1975-02-28,10.39
1975-03-31,10.86
1975-04-30,16.15
1975-05-31,96.03330077966477
1975-06-30,296.47318998332145
1975-07-31,328.0900000000001
1975-08-31,248.92895109281775
1975-09-30,22.930000000000003
1975-10-31,17.23
1975-11-30,13.009999999999998
1975-12-31,10.93
1976-01-31,9.49
1976-02-29,10.39
1976-03-31,145.9836467306941
1976-04-30,198.03800000000004
1976-05-31,321.57
1976-06-30,325.62
1976-07-31,328.0900000000001
1976-08-31,326.86
1976-09-30,107.0662438579068
1976-10-31,87.98702108928144
1976-11-30,15.7275
1976-12-31,11.517380000000001
1977-01-31,15.897512609457095
1977-02-28,27.25727792995735
1977-03-31,164.31
1977-04-30,219.1
1977-05-31,321.57
1977-06-30,325.62
1977-07-31,328.0900000000001
1977-08-31,326.86
1977-09-30,106.61883472218743
1977-10-31,90.17836606311678
1977-11-30,13.009999999999998
1977-12-31,10.93
1978-01-31,9.49
1978-02-28,10.39
1978-03-31,10.86
1978-04-30,16.15
1978-05-31,47.95099999999997
1978-06-30,187.43863101586825
1978-07-31,289.598851423823
1978-08-31,223.15459469541725
1978-09-30,22.930000000000003
1978-10-31,17.23
1978-11-30,13.009999999999998
1978-12-31,10.93
1979-01-31,9.49
1979-02-28,10.39
1979-03-31,10.86
1979-04-30,16.15
1979-05-31,130.27489194935163
1979-06-30,325.62
1979-07-31,328.0900000000001
1979-08-31,249.94100000000003
1979-09-30,22.930000000000003
1979-10-31,17.23
1979-11-30,13.009999999999998
1979-12-31,10.93
1980-01-31,9.49
1980-02-29,10.39
1980-03-31,10.86
1980-04-30,16.15
1980-05-31,50.12543960506478
1980-06-30,220.9699427798684
1980-07-31,301.55915142382304
1980-08-31,208.27373003891998
1980-09-30,22.930000000000003
1980-10-31,17.23
1980-11-30,13.009999999999998
1980-12-31,10.93
1981-01-31,9.49
1981-02-28,10.39
1981-03-31,10.86
1981-04-30,30.722251348936982
1981-05-31,289.95500711636026
1981-06-30,325.62
1981-07-31,328.0900000000001
1981-08-31,326.86
1981-09-30,51.75944154907909
1981-10-31,62.115506811765506
1981-11-30,13.009999999999998
1981-12-31,10.93
1982-01-31,9.49
1982-02-28,10.39
1982-03-31,10.86
1982-04-30,16.15
1982-05-31,47.95099999999997
1982-06-30,231.7079945738683
1982-07-31,310.554691423823
1982-08-31,219.13936077662757
1982-09-30,22.930000000000003
1982-10-31,17.23
1982-11-30,13.009999999999998
1982-12-31,10.93
1983-01-31,9.49
1983-02-28,10.39
1983-03-31,10.86
1983-04-30,16.15
1983-05-31,47.95099999999997
1983-06-30,171.42099999999994
1983-07-31,188.83893794444802
1983-08-31,181.09236635571983
1983-09-30,22.930000000000003
1983-10-31,17.23
1983-11-30,13.009999999999998
1983-12-31,10.93
1984-01-31,9.49
1984-02-29,10.39
1984-03-31,10.86
1984-04-30,16.15
1984-05-31,134.61399938656274
1984-06-30,325.62
1984-07-31,328.0900000000001
1984-08-31,238.3839463557198
1984-09-30,22.930000000000003
1984-10-31,17.23
1984-11-30,13.009999999999998
1984-12-31,10.93
1985-01-31,9.49
1985-02-28,10.39
1985-03-31,10.86
1985-04-30,16.15
1985-05-31,213.04181240332508
1985-06-30,325.62
1985-07-31,328.0900000000001
1985-08-31,326.86
1985-09-30,40.623194530058576
1985-10-31,54.397767898798854
1985-11-30,13.009999999999998
1985-12-31,10.93
1986-01-31,9.49
1986-02-28,10.39
1986-03-31,10.86
1986-04-30,16.15
1986-05-31,47.95099999999997
1986-06-30,238.6509849119754
1986-07-31,328.0900000000001
1986-08-31,234.9792863557198
1986-09-30,22.930000000000003
1986-10-31,17.23
1986-11-30,13.009999999999998
1986-12-31,10.93
1987-01-31,9.49
1987-02-28,10.39
1987-03-31,10.86
1987-04-30,168.20311893834366
1987-05-31,321.57
1987-06-30,325.62
1987-07-31,328.0900000000001
1987-08-31,326.86
1987-09-30,76.24739778334751
1987-10-31,68.91198606311679
1987-11-30,13.009999999999998
1987-12-31,10.93
1988-01-31,9.49
1988-02-29,10.39
1988-03-31,134.23036358052866
1988-04-30,198.03800000000004
1988-05-31,321.57
1988-06-30,325.62
1988-07-31,328.0900000000001
1988-08-31,326.86
1988-09-30,74.67923016139663
1988-10-31,81.56931892043157
1988-11-30,13.009999999999998
1988-12-31,10.93
1989-01-31,9.49
1989-02-28,10.39
1989-03-31,125.52513397576463
1989-04-30,218.90013770760189
1989-05-31,321.57
1989-06-30,325.62
1989-07-31,328.0900000000001
1989-08-31,326.86
1989-09-30,73.80845360225317
1989-10-31,91.05
1989-11-30,19.67
1989-12-31,12.94
1990-01-31,9.667568104151382
1990-02-28,17.25139792995735
1990-03-31,162.86418673069412
1990-04-30,219.12000000000003
1990-05-31,321.57
1990-06-30,325.62
1990-07-31,328.0900000000001
1990-08-31,326.86
1990-09-30,92.6341246626424
1990-10-31,88.9397578487013
1990-11-30,13.009999999999998
1990-12-31,10.93
1991-01-31,9.365
1991-02-28,10.24
1991-03-31,127.66803673069408
1991-04-30,198.01800000000003
1991-05-31,321.57
1991-06-30,325.62
1991-07-31,328.0900000000001
1991-08-31,326.86
1991-09-30,52.51770477565788
1991-10-31,91.05
1991-11-30,16.814799999999998
1991-12-31,12.94
1992-01-31,9.365
1992-02-29,19.382237929957352
1992-03-31,126.32758673069408
1992-04-30,172.30875000000003
1992-05-31,321.57
1992-06-30,325.62
1992-07-31,328.0900000000001
1992-08-31,326.86
1992-09-30,80.72341524686355
1992-10-31,72.6218539489634
1992-11-30,13.009999999999998
1992-12-31,10.93
1993-01-31,9.49
1993-02-28,10.39
1993-03-31,10.86
1993-04-30,16.15
1993-05-31,47.95099999999997
1993-06-30,284.67464754093373
1993-07-31,328.0900000000001
1993-08-31,248.0335263557198
1993-09-30,22.930000000000003
1993-10-31,17.23
1993-11-30,13.009999999999998
1993-12-31,10.93
1994-01-31,9.365
1994-02-28,10.24
1994-03-31,65.4993555288845
1994-04-30,207.21633922384675
1994-05-31,321.57
1994-06-30,325.62
1994-07-31,328.0900000000001
1994-08-31,326.86
1994-09-30,95.45149218282394
1994-10-31,69.40811011150093
1994-11-30,13.009999999999998
1994-12-31,10.93
1995-01-31,9.49
1995-02-28,10.39
1995-03-31,10.86
1995-04-30,16.15
1995-05-31,89.87856615606476
1995-06-30,192.52252277986827
1995-07-31,220.825881423823
1995-08-31,200.44962635571983
1995-09-30,22.930000000000003
1995-10-31,17.23
1995-11-30,13.009999999999998
1995-12-31,10.93
1996-01-31,9.49
1996-02-29,10.39
1996-03-31,10.86
1996-04-30,16.15
1996-05-31,58.02166504640297
1996-06-30,325.62
1996-07-31,328.0900000000001
1996-08-31,241.57099809304933
1996-09-30,22.930000000000003
1996-10-31,17.23
1996-11-30,13.009999999999998
1996-12-31,10.93
1997-01-31,9.49
1997-02-28,10.39
1997-03-31,10.86
1997-04-30,16.15
1997-05-31,106.94744434633623
1997-06-30,325.62
1997-07-31,328.0900000000001
1997-08-31,239.8198463557198
1997-09-30,22.930000000000003
1997-10-31,17.23
1997-11-30,13.009999999999998
1997-12-31,10.93
1998-01-31,9.49
1998-02-28,10.39
1998-03-31,10.86
1998-04-30,16.15
1998-05-31,74.6054596050648
1998-06-30,171.42099999999994
1998-07-31,185.911
1998-08-31,173.19470501505887
1998-09-30,22.930000000000003
1998-10-31,17.23
1998-11-30,13.009999999999998
1998-12-31,10.93
1999-01-31,9.49
1999-02-28,10.39
1999-03-31,10.86
1999-04-30,53.93058220377881
1999-05-31,233.04099999999997
1999-06-30,325.62
1999-07-31,328.0900000000001
1999-08-31,326.86
1999-09-30,56.012040589950544
1999-10-31,43.9340384669178
1999-11-30,13.009999999999998
1999-12-31,10.93
2000-01-31,9.49
2000-02-29,10.39
2000-03-31,10.86
2000-04-30,16.15
2000-05-31,121.78957787281
2000-06-30,325.62
2000-07-31,328.0900000000001
2000-08-31,291.0244729375508
2000-09-30,82.66741516050608
2000-10-31,58.09125275495499
2000-11-30,13.009999999999998
2000-12-31,10.93
2001-01-31,9.49
2001-02-28,10.39
2001-03-31,10.86
2001-04-30,163.3872588520941
2001-05-31,321.57
2001-06-30,325.62
2001-07-31,328.0900000000001
2001-08-31,326.86
2001-09-30,61.14560193112298
2001-10-31,74.69706573725506
2001-11-30,13.009999999999998
2001-12-31,10.93
2002-01-31,9.49
2002-02-28,10.39
2002-03-31,10.86
2002-04-30,51.14282408552531
2002-05-31,321.57
2002-06-30,325.62
2002-07-31,328.0900000000001
2002-08-31,326.86
2002-09-30,72.95537635863127
2002-10-31,75.91375637046175
2002-11-30,13.009999999999998
2002-12-31,10.93
2003-01-31,9.49
2003-02-28,10.39
2003-03-31,10.86
2003-04-30,31.952702626291927
2003-05-31,321.57
2003-06-30,325.62
2003-07-31,328.0900000000001
2003-08-31,326.86
2003-09-30,137.5389
